Волосовский муниципальный район,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Мужчины,253.0,246.0,233.0,230.0,296.0,257.0,304.0,292.0,270.0,261.0
8-13 лет,,,,,,,,,,
Всего,2890.0,2963.0,3074.0,3182.0,3234.0,3227.0,3314.0,3309.0,3360.0,3383.0
Женщины,1413.0,1429.0,1493.0,1542.0,1550.0,1567.0,1591.0,1577.0,1604.0,1620.0
Мужчины,1477.0,1534.0,1581.0,1640.0,1684.0,1660.0,1723.0,1732.0,1756.0,1763.0
14,,,,,,,,,,
Всего,463.0,489.0,455.0,466.0,498.0,583.0,489.0,555.0,523.0,527.0
Женщины,238.0,234.0,211.0,228.0,268.0,284.0,236.0,255.0,257.0,262.0
Мужчины,225.0,255.0,244.0,238.0,230.0,299.0,253.0,300.0,266.0,265.0
0-14,,,,,,,,,,
Всего,7388.0,7515.0,7692.0,7874.0,7917.0,8012.0,8088.0,8121.0,7655.0,7476.0
Женщины,3568.0,3600.0,3706.0,3815.0,3833.0,3865.0,3875.0,3884.0,3716.0,3617.0
Мужчины,3820.0,3915.0,3986.0,4059.0,4084.0,4147.0,4213.0,4237.0,3939.0,3859.0
от 10-14,,,,,,,,,,
Всего,2328.0,2443.0,2450.0,2550.0,2639.0,2723.0,2706.0,2796.0,2739.0,2778.0
Женщины,1156.0,1197.0,1206.0,1245.0,1277.0,1301.0,1297.0,1354.0,1332.0,1316.0
Мужчины,1172.0,1246.0,1244.0,1305.0,1362.0,1422.0,1409.0,1442.0,1407.0,1462.0
14-15,,,,,,,,,,
Всего,956.0,958.0,953.0,929.0,966.0,1080.0,1074.0,1051.0,1061.0,1056.0
Женщины,489.0,475.0,449.0,442.0,491.0,553.0,520.0,492.0,513.0,522.0
Мужчины,467.0,483.0,504.0,487.0,475.0,527.0,554.0,559.0,548.0,534.0
15,,,,,,,,,,
Всего,493.0,469.0,498.0,463.0,468.0,497.0,585.0,496.0,538.0,529.0
Женщины,251.0,241.0,238.0,214.0,223.0,269.0,284.0,237.0,256.0,260.0
Мужчины,242.0,228.0,260.0,249.0,245.0,228.0,301.0,259.0,282.0,269.0
16,,,,,,,,,,
Всего,461.0,501.0,461.0,474.0,463.0,450.0,487.0,588.0,510.0,530.0
Женщины,214.0,255.0,235.0,224.0,214.0,218.0,263.0,286.0,244.0,254.0
Мужчины,247.0,246.0,226.0,250.0,249.0,232.0,224.0,302.0,266.0,276.0
17,,,,,,,,,,
Всего,,,503.0,471.0,481.0,465.0,454.0,473.0,563.0,505.0
Женщины,,,256.0,239.0,219.0,211.0,220.0,253.0,282.0,248.0
Мужчины,,,247.0,232.0,262.0,254.0,234.0,220.0,281.0,257.0
5-17,,,,,,,,,,
Всего,,,6601.0,6632.0,6681.0,6723.0,6876.0,7116.0,7176.0,7055.0
Женщины,,,3229.0,3226.0,3214.0,3249.0,3308.0,3414.0,3497.0,3430.0
Мужчины,,,3372.0,3406.0,3467.0,3474.0,3568.0,3702.0,3679.0,3625.0
5-18 лет,,,,,,,,,,
Всего,,,,,,,,,,7591.0
Женщины,,,,,,,,,,3710.0
Мужчины,,,,,,,,,,3881.0
0-17,,,,,,,,,,
Всего,8802.0,8948.0,9154.0,9282.0,9329.0,9424.0,9614.0,9678.0,9266.0,9040.0
Женщины,4269.0,4311.0,4435.0,4492.0,4489.0,4563.0,4642.0,4660.0,4498.0,4379.0
Мужчины,4533.0,4637.0,4719.0,4790.0,4840.0,4861.0,4972.0,5018.0,4768.0,4661.0
16-17,,,,,,,,,,
Всего,921.0,964.0,964.0,945.0,944.0,915.0,941.0,1061.0,1073.0,1035.0
Женщины,450.0,470.0,491.0,463.0,433.0,429.0,483.0,539.0,526.0,502.0
Мужчины,471.0,494.0,473.0,482.0,511.0,486.0,458.0,522.0,547.0,533.0
18,,,,,,,,,,
