Волосовский муниципальный район,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
50-59,,,,,,,,,,
Всего,,,,,,,7008.0,6785.0,6661.0,6587.0
Женщины,,,,,,,3615.0,3498.0,3482.0,3389.0
Мужчины,,,,,,,3393.0,3287.0,3179.0,3198.0
55-59,,,,,,,,,,
Всего,3923.0,3905.0,4054.0,4093.0,4115.0,3980.0,3903.0,3633.0,3483.0,3295.0
Женщины,2217.0,2249.0,2275.0,2240.0,2240.0,2149.0,2006.0,1852.0,1913.0,1785.0
Мужчины,1706.0,1656.0,1779.0,1853.0,1875.0,1831.0,1897.0,1781.0,1570.0,1510.0
60,,,,,,,,,,
Всего,741.0,719.0,797.0,709.0,776.0,831.0,660.0,923.0,717.0,768.0
Женщины,420.0,431.0,454.0,424.0,450.0,436.0,425.0,487.0,385.0,450.0
Мужчины,321.0,288.0,343.0,285.0,326.0,395.0,235.0,436.0,332.0,318.0
61,,,,,,,,,,
Всего,695.0,730.0,704.0,783.0,704.0,763.0,810.0,651.0,848.0,718.0
Женщины,386.0,415.0,433.0,449.0,423.0,450.0,427.0,417.0,486.0,390.0
Мужчины,309.0,315.0,271.0,334.0,281.0,313.0,383.0,234.0,362.0,328.0
62,,,,,,,,,,
Всего,559.0,687.0,717.0,683.0,767.0,695.0,737.0,808.0,740.0,838.0
Женщины,365.0,386.0,409.0,426.0,447.0,425.0,435.0,423.0,417.0,485.0
Мужчины,194.0,301.0,308.0,257.0,320.0,270.0,302.0,385.0,323.0,353.0
63,,,,,,,,,,
Всего,683.0,557.0,675.0,698.0,664.0,729.0,666.0,738.0,852.0,742.0
Женщины,397.0,363.0,381.0,410.0,417.0,428.0,409.0,434.0,479.0,414.0
Мужчины,286.0,194.0,294.0,288.0,247.0,301.0,257.0,304.0,373.0,328.0
64,,,,,,,,,,
Всего,471.0,674.0,549.0,666.0,680.0,664.0,717.0,645.0,737.0,840.0
Женщины,322.0,394.0,363.0,382.0,405.0,420.0,419.0,406.0,422.0,473.0
Мужчины,149.0,280.0,186.0,284.0,275.0,244.0,298.0,239.0,315.0,367.0
60-64,,,,,,,,,,
Всего,3149.0,3367.0,3442.0,3539.0,3591.0,3682.0,3590.0,3765.0,3894.0,3906.0
Женщины,1890.0,1989.0,2040.0,2091.0,2142.0,2159.0,2115.0,2167.0,2189.0,2212.0
Мужчины,1259.0,1378.0,1402.0,1448.0,1449.0,1523.0,1475.0,1598.0,1705.0,1694.0
60-65,,,,,,,,,,
Всего,,,668.0,530.0,647.0,662.0,4229.0,4466.0,4628.0,4629.0
Женщины,,,400.0,353.0,375.0,393.0,2516.0,2581.0,2627.0,2627.0
Мужчины,,,268.0,177.0,272.0,269.0,1713.0,1885.0,2001.0,2002.0
старше 65,,,,,,,,,,
Всего,,,1699.0,1929.0,1959.0,2143.0,7353.0,7552.0,7551.0,7908.0
Женщины,,,1147.0,1260.0,1296.0,1365.0,4876.0,5009.0,5085.0,5247.0
Мужчины,,,552.0,669.0,663.0,778.0,2477.0,2543.0,2466.0,2661.0
65,,,,,,,,,,
Всего,469.0,457.0,668.0,530.0,647.0,662.0,639.0,701.0,734.0,723.0
Женщины,308.0,318.0,400.0,353.0,375.0,393.0,401.0,414.0,438.0,415.0
Мужчины,161.0,139.0,268.0,177.0,272.0,269.0,238.0,287.0,296.0,308.0
66,,,,,,,,,,
Всего,462.0,454.0,440.0,651.0,520.0,626.0,651.0,623.0,716.0,733.0
Женщины,297.0,299.0,310.0,386.0,351.0,360.0,391.0,392.0,430.0,435.0
Мужчины,165.0,155.0,130.0,265.0,169.0,266.0,260.0,231.0,286.0,298.0
67,,,,,,,,,,
Всего,403.0,452.0,437.0,427.0,633.0,505.0,600.0,652.0,680.0,699.0
Женщины,270.0,296.0,291.0,302.0,376.0,344.0,341.0,394.0,420.0,419.0
Мужчины,133.0,156.0,146.0,125.0,257.0,161.0,259.0,258.0,260.0,280.0
68,,,,,,,,,,
Всего,257.0,394.0,443.0,415.0,408.0,616.0,477.0,583.0,602.0,658.0
Женщины,154.0,266.0,293.0,282.0,294.0,368.0,328.0,339.0,377.0,409.0
Мужчины,103.0,128.0,150.0,133.0,114.0,248.0,149.0,244.0,225.0,249.0
69,,,,,,,,,,
Всего,204.0,249.0,379.0,436.0,398.0,396.0,600.0,453.0,617.0,601.0
Женщины,168.0,152.0,253.0,290.0,275.0,293.0,360.0,319.0,389.0,371.0
Мужчины,36.0,97.0,126.0,146.0,123.0,103.0,240.0,134.0,228.0,230.0
65-69,,,,,,,,,,
Всего,1795.0,2006.0,2367.0,2459.0,2606.0,2805.0,2967.0,3012.0,3349.0,3414.0
Женщины,1197.0,1331.0,1547.0,1613.0,1671.0,1758.0,1821.0,1858.0,2054.0,2049.0
Мужчины,598.0,675.0,820.0,846.0,935.0,1047.0,1146.0,1154.0,1295.0,1365.0
70 и старше,,,,,,,,,,
Всего,5438.0,5227.0,5068.0,5041.0,5048.0,5069.0,5025.0,5241.0,4936.0,5217.0
Женщины,3638.0,3548.0,3452.0,3452.0,3458.0,3479.0,3456.0,3565.0,3469.0,3613.0
Мужчины,1800.0,1679.0,1616.0,1589.0,1590.0,1590.0,1569.0,1676.0,1467.0,1604.0
70-74,,,,,,,,,,
Всего,1654.0,1315.0,1074.0,1071.0,1266.0,1523.0,1674.0,1999.0,,
Женщины,1059.0,955.0,767.0,758.0,865.0,1052.0,1148.0,1342.0,,
Мужчины,595.0,360.0,307.0,313.0,401.0,471.0,526.0,657.0,,
75-79,,,,,,,,,,
Всего,1321.0,1512.0,1669.0,1814.0,1626.0,1301.0,993.0,803.0,,
Женщины,1077.0,1141.0,1219.0,1302.0,1115.0,869.0,761.0,591.0,,
Мужчины,244.0,371.0,450.0,512.0,511.0,432.0,232.0,212.0,,
80-84 года,,,,,,,,,,
Всего,1389.0,1106.0,976.0,862.0,801.0,945.0,1069.0,1204.0,1083.0,990.0
Женщины,944.0,619.0,732.0,699.0,689.0,816.0,818.0,891.0,849.0,759.0
Мужчины,445.0,487.0,244.0,163.0,112.0,129.0,251.0,313.0,234.0,231.0
85-89 лет,,,,,,,,,,
Всего,773.0,1043.0,1080.0,1077.0,905.0,815.0,663.0,563.0,433.0,456.0
Женщины,321.0,639.0,561.0,556.0,657.0,556.0,366.0,432.0,361.0,383.0
Мужчины,452.0,404.0,519.0,521.0,248.0,259.0,297.0,131.0,72.0,73.0
90-94 года,,,,,,,,,,
Всего,241.0,187.0,197.0,107.0,357.0,383.0,532.0,562.0,177.0,167.0
Женщины,185.0,140.0,115.0,52.0,62.0,115.0,299.0,254.0,147.0,134.0
Мужчины,56.0,47.0,82.0,55.0,295.0,268.0,233.0,308.0,30.0,33.0
95-99 лет,,,,,,,,,,
Всего,42.0,46.0,48.0,83.0,69.0,76.0,66.0,72.0,25.0,41.0
Женщины,37.0,39.0,37.0,62.0,49.0,50.0,42.0,26.0,18.0,33.0
Мужчины,5.0,7.0,11.0,21.0,20.0,26.0,24.0,46.0,7.0,8.0
100 и более лет,,,,,,,,,,
Всего,18.0,18.0,24.0,27.0,24.0,26.0,28.0,38.0,3.0,4.0
Женщины,15.0,15.0,21.0,23.0,21.0,21.0,22.0,29.0,3.0,3.0
Мужчины,3.0,3.0,3.0,4.0,3.0,5.0,6.0,9.0,0.0,1.0
моложе трудоспособного возраста,,,,,,,,,,
Всего,7881.0,7984.0,8190.0,8337.0,8385.0,8509.0,8673.0,8617.0,8193.0,8005.0
Женщины,3819.0,3841.0,3944.0,4029.0,4056.0,4134.0,4159.0,4121.0,3972.0,3877.0
Мужчины,4062.0,4143.0,4246.0,4308.0,4329.0,4375.0,4514.0,4496.0,4221.0,4128.0
трудоспособный возраст,,,,,,,,,,
Всего,30932.0,31055.0,30482.0,30307.0,29805.0,29454.0,30082.0,29868.0,29580.0,29177.0
Женщины,14275.0,14274.0,14009.0,13875.0,13516.0,13354.0,13814.0,13633.0,13539.0,13333.0
Мужчины,16657.0,16781.0,16473.0,16432.0,16289.0,16100.0,16268.0,16235.0,16041.0,15844.0
старше трудоспособного возраста,,,,,,,,,,
Всего,12599.0,12849.0,13152.0,13279.0,13485.0,13705.0,13023.0,13102.0,12670.0,13029.0
Женщины,8942.0,9117.0,9314.0,9396.0,9511.0,9545.0,9068.0,9110.0,8897.0,9012.0
Мужчины,3657.0,3732.0,3838.0,3883.0,3974.0,4160.0,3955.0,3992.0,3773.0,4017.0
