Всеволожский муниципальный район,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Всего,3329.0,3708.0,4171.0,4375.0,3956.0
Женщины,1502.0,1730.0,1946.0,2105.0,1734.0
Мужчины,1827.0,1978.0,2225.0,2270.0,2222.0
19,,,,,
Всего,3545.0,4111.0,4462.0,5344.0,5288.0
Женщины,1510.0,1777.0,1964.0,2356.0,2339.0
Мужчины,2035.0,2334.0,2498.0,2988.0,2949.0
15-19,,,,,
Всего,15946.0,18293.0,20144.0,20055.0,20534.0
Женщины,7492.0,8690.0,9708.0,9431.0,9525.0
Мужчины,8454.0,9603.0,10436.0,10624.0,11009.0
18-19,,,,,
Всего,6874.0,7819.0,8633.0,9719.0,9244.0
Женщины,3012.0,3507.0,3910.0,4461.0,4073.0
Мужчины,3862.0,4312.0,4723.0,5258.0,5171.0
20,,,,,
Всего,3351.0,3803.0,4305.0,6363.0,5655.0
Женщины,1636.0,1746.0,2032.0,2810.0,2508.0
Мужчины,1715.0,2057.0,2273.0,3553.0,3147.0
21,,,,,
Всего,3477.0,3826.0,4232.0,8281.0,6270.0
Женщины,1639.0,1951.0,2036.0,4001.0,3004.0
Мужчины,1838.0,1875.0,2196.0,4280.0,3266.0
22,,,,,
Всего,3761.0,3869.0,4341.0,8667.0,8318.0
Женщины,1881.0,1980.0,2378.0,4476.0,4276.0
Мужчины,1880.0,1889.0,1963.0,4191.0,4042.0
23,,,,,
Всего,3768.0,4325.0,4464.0,7787.0,9146.0
Женщины,2131.0,2260.0,2391.0,4022.0,4776.0
Мужчины,1637.0,2065.0,2073.0,3765.0,4370.0
24,,,,,
Всего,4578.0,4547.0,5119.0,6631.0,8362.0
Женщины,2476.0,2579.0,2753.0,3623.0,4415.0
Мужчины,2102.0,1968.0,2366.0,3008.0,3947.0
20-24,,,,,
Всего,18935.0,20370.0,22461.0,37729.0,37751.0
Женщины,9763.0,10516.0,11590.0,18932.0,18979.0
Мужчины,9172.0,9854.0,10871.0,18797.0,18772.0
25,,,,,
Всего,4465.0,5295.0,5241.0,8582.0,7278.0
Женщины,2533.0,2949.0,3043.0,4614.0,4000.0
Мужчины,1932.0,2346.0,2198.0,3968.0,3278.0
26,,,,,
Всего,5438.0,5141.0,6117.0,8893.0,9113.0
Женщины,2863.0,2989.0,3436.0,4877.0,4938.0
Мужчины,2575.0,2152.0,2681.0,4016.0,4175.0
27,,,,,
Всего,7030.0,6350.0,6006.0,8402.0,9538.0
Женщины,3310.0,3297.0,3494.0,4534.0,5288.0
Мужчины,3720.0,3053.0,2512.0,3868.0,4250.0
28,,,,,
Всего,8371.0,8016.0,7298.0,8520.0,9083.0
Женщины,4028.0,3779.0,3776.0,4648.0,4942.0
Мужчины,4343.0,4237.0,3522.0,3872.0,4141.0
29,,,,,
Всего,8717.0,9259.0,9061.0,9327.0,9114.0
Женщины,4315.0,4429.0,4332.0,5089.0,4955.0
Мужчины,4402.0,4830.0,4729.0,4238.0,4159.0
25-29,,,,,
Всего,34021.0,34061.0,33723.0,43724.0,44126.0
Женщины,17049.0,17443.0,18081.0,23762.0,24123.0
Мужчины,16972.0,16618.0,15642.0,19962.0,20003.0
16-29,,,,,
Всего,65799.0,69182.0,72370.0,98131.0,98731.0
Женщины,32768.0,34864.0,37384.0,50529.0,50854.0
Мужчины,33031.0,34318.0,34986.0,47602.0,47877.0
30,,,,,
Всего,9172.0,9627.0,10342.0,10226.0,9884.0
Женщины,4542.0,4741.0,5042.0,5487.0,5395.0
Мужчины,4630.0,4886.0,5300.0,4739.0,4489.0
до 30,,,,,
Всего,,,,171569.0,179517.0
Женщины,,,,85843.0,89926.0
Мужчины,,,,85726.0,89591.0
31,,,,,
Всего,9568.0,10024.0,10760.0,12995.0,10829.0
Женщины,4926.0,5025.0,5347.0,6857.0,5859.0
Мужчины,4642.0,4999.0,5413.0,6138.0,4970.0
32,,,,,
Всего,9279.0,10478.0,11066.0,13337.0,13668.0
Женщины,4637.0,5362.0,5577.0,7013.0,7193.0
Мужчины,4642.0,5116.0,5489.0,6324.0,6475.0
33,,,,,
Всего,9195.0,10106.0,11470.0,12867.0,13933.0
