Волховский муниципальный район,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Женщины,442.0,428.0,422.0,409.0,424.0,423.0,428.0,396.0,337.0,350.0
Мужчины,446.0,526.0,467.0,400.0,433.0,399.0,400.0,424.0,365.0,360.0
1-6 лет,,,,,,,,,,
Всего,5337.0,5258.0,5122.0,4977.0,4911.0,4753.0,4536.0,4317.0,3583.0,3370.0
Женщины,2577.0,2564.0,2524.0,2477.0,2443.0,2355.0,2253.0,2145.0,1770.0,1645.0
Мужчины,2760.0,2694.0,2598.0,2500.0,2468.0,2398.0,2283.0,2172.0,1813.0,1725.0
7,,,,,,,,,,
Всего,831.0,888.0,944.0,885.0,804.0,852.0,804.0,827.0,753.0,708.0
Женщины,397.0,444.0,425.0,420.0,400.0,426.0,414.0,428.0,358.0,338.0
Мужчины,434.0,444.0,519.0,465.0,404.0,426.0,390.0,399.0,395.0,370.0
8,,,,,,,,,,
Всего,811.0,822.0,886.0,954.0,901.0,800.0,868.0,818.0,723.0,767.0
Женщины,397.0,396.0,441.0,431.0,422.0,397.0,430.0,416.0,348.0,360.0
Мужчины,414.0,426.0,445.0,523.0,479.0,403.0,438.0,402.0,375.0,407.0
9,,,,,,,,,,
Всего,859.0,804.0,819.0,891.0,949.0,910.0,815.0,875.0,702.0,716.0
Женщины,424.0,396.0,397.0,443.0,424.0,429.0,405.0,429.0,331.0,346.0
Мужчины,435.0,408.0,422.0,448.0,525.0,481.0,410.0,446.0,371.0,370.0
10,,,,,,,,,,
Всего,857.0,850.0,803.0,820.0,899.0,943.0,911.0,823.0,720.0,718.0
Женщины,419.0,422.0,396.0,394.0,446.0,427.0,429.0,409.0,360.0,339.0
Мужчины,438.0,428.0,407.0,426.0,453.0,516.0,482.0,414.0,360.0,379.0
11,,,,,,,,,,
Всего,799.0,848.0,858.0,799.0,825.0,896.0,939.0,918.0,766.0,715.0
Женщины,387.0,417.0,423.0,397.0,395.0,439.0,427.0,433.0,370.0,352.0
Мужчины,412.0,431.0,435.0,402.0,430.0,457.0,512.0,485.0,396.0,363.0
12,,,,,,,,,,
Всего,788.0,793.0,848.0,855.0,802.0,810.0,892.0,948.0,745.0,762.0
Женщины,378.0,387.0,416.0,423.0,395.0,390.0,445.0,428.0,357.0,363.0
Мужчины,410.0,406.0,432.0,432.0,407.0,420.0,447.0,520.0,388.0,399.0
13,,,,,,,,,,
Всего,746.0,778.0,795.0,845.0,856.0,797.0,825.0,899.0,789.0,751.0
Женщины,370.0,375.0,391.0,415.0,423.0,390.0,395.0,450.0,378.0,360.0
Мужчины,376.0,403.0,404.0,430.0,433.0,407.0,430.0,449.0,411.0,391.0
8-13 лет,,,,,,,,,,
Всего,4860.0,4895.0,5009.0,5164.0,5232.0,5156.0,5250.0,5281.0,4445.0,4429.0
Женщины,2375.0,2393.0,2464.0,2503.0,2505.0,2472.0,2531.0,2565.0,2144.0,2120.0
Мужчины,2485.0,2502.0,2545.0,2661.0,2727.0,2684.0,2719.0,2716.0,2301.0,2309.0
14,,,,,,,,,,
Всего,720.0,736.0,780.0,787.0,845.0,847.0,791.0,837.0,750.0,786.0
Женщины,364.0,368.0,378.0,384.0,413.0,418.0,387.0,406.0,379.0,376.0
Мужчины,356.0,368.0,402.0,403.0,432.0,429.0,404.0,431.0,371.0,410.0
0-14,,,,,,,,,,
Всего,12580.0,12638.0,12637.0,12608.0,12538.0,12227.0,12001.0,11830.0,10010.0,9796.0
