М_Автовладельцы,Ж_Автовладельцы,Ж_Беременные,М_Занятые,Ж_Занятые,М_Инвалиды_ЗР,Ж_Инвалиды_ЗР,М_Инвалиды_ОДА_сгл,Ж_Инвалиды_ОДА_сгл,М_Инвалиды_ОДА,Ж_Инвалиды_ОДА,М_Мотоциклисты,Ж_Мотоциклисты,М_Мусульмане,Ж_Мусульмане,М_Православные,Ж_Православные
0.0,0.0,0.0,0.0,0.0,0.0003128519584532599,0.00023248090335436733,0.0016894005756476036,0.0011291929591497841,0.004598923789262921,0.0031218864164729325,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.00033211557622052476,0.00022443090734209682,0.0016907702062135806,0.0011542160949022122,0.004589233416865433,0.0031099711445976273,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.00033276024624258224,0.0002330187580100198,0.0016638012312129111,0.0011359664452988466,0.004603183406355721,0.003116625888384015,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.00033876295062529993,0.0002107164358819988,0.001665584507241058,0.001143889223359422,0.004601530079326991,0.0031306441902468393,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.00032596455876252,0.00022038220571104746,0.004148639838795709,0.0028334855019991815,0.004593136964380963,0.0031168340521990994,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0003378170874024937,0.00022830305599947815,0.0041459369817578775,0.002837480838850657,0.004575886002088324,0.003131013339421415,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0003122268015486449,0.00023291408797497838,0.004121393780442113,0.002828242496839023,0.004589733982765081,0.003127703467092567,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0003431355728648389,0.00021964344547351465,0.004117626874378067,0.0028553647911556904,0.0045980166763888415,0.0031116154775414576,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0003072061792328623,0.0002316423442205235,0.006451329763890108,0.004354876071345842,0.004608092688492934,0.003104007412555015,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0003448721817476398,0.00022579479768786127,0.006466353407768246,0.004380419075144509,0.004569556408156227,0.0031159682080924857,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0003105865649125921,0.0002340276152586005,0.006477948353891206,0.00435291364380997,0.004570059455142426,0.003135970044465247,0.0,0.0,0.0,0.0,0.0,0.0
