,from_territory_id,to_territory_id,n_people
0,3,4,1
1,3,6,2
2,3,9,1
3,3,11,1
4,3,24,1
5,3,35,21
6,3,37,1
7,3,38,1
8,3,40,3
9,3,41,1
10,3,45,1
11,3,46,1
12,3,47,1
13,3,49,1
14,3,50,4
15,3,52,2
16,3,53,1
17,3,59,1
18,3,63,1
19,3,80,1
20,3,82,1
21,3,107,1
22,3,110,1
23,3,114,1
24,3,115,1
25,3,128,1
26,3,130,1
27,3,131,1
28,3,135,2
29,3,136,3
30,3,140,1
31,3,146,1
32,3,161,1
33,3,167,1
34,3,170,1
35,3,171,1
36,3,173,1
37,3,192,1
38,3,194,1
39,4,3,1
40,4,6,1
41,4,9,1
42,4,11,1
43,4,35,12
44,4,37,1
45,4,38,1
46,4,40,1
47,4,47,1
48,4,49,1
49,4,50,2
50,4,52,1
51,4,53,1
52,4,59,1
53,4,63,1
54,4,80,1
55,4,115,1
56,4,128,1
57,4,135,1
58,4,136,1
59,4,161,1
60,4,173,1
61,6,3,2
62,6,4,1
63,6,9,2
64,6,11,2
65,6,13,1
66,6,24,1
67,6,30,1
68,6,33,1
69,6,35,34
70,6,37,2
71,6,38,2
72,6,40,4
73,6,41,1
74,6,45,1
75,6,46,1
76,6,47,2
77,6,49,2
78,6,50,6
79,6,52,2
80,6,53,2
81,6,56,1
82,6,59,2
83,6,63,2
84,6,66,1
85,6,70,1
86,6,78,1
87,6,80,2
88,6,82,1
89,6,107,1
90,6,110,1
91,6,114,1
92,6,115,2
93,6,119,1
94,6,124,1
95,6,125,1
96,6,128,1
97,6,130,1
98,6,131,1
99,6,132,1
100,6,135,3
101,6,136,4
102,6,137,1
103,6,140,1
104,6,145,1
105,6,146,1
106,6,161,2
107,6,163,1
108,6,167,1
109,6,170,1
110,6,171,1
111,6,173,2
112,6,175,1
113,6,176,1
114,6,185,1
115,6,188,1
116,6,192,1
117,6,194,1
118,6,199,1
119,9,3,2
120,9,4,2
121,9,6,3
122,9,11,2
123,9,13,1
124,9,24,1
125,9,30,1
126,9,33,1
127,9,35,35
128,9,37,2
129,9,38,2
130,9,40,4
131,9,41,1
132,9,45,1
133,9,46,1
134,9,47,2
135,9,49,2
136,9,50,6
137,9,52,3
138,9,53,2
139,9,56,1
140,9,59,2
141,9,63,2
142,9,66,1
143,9,70,1
144,9,78,1
145,9,80,2
146,9,82,1
147,9,107,1
148,9,110,1
149,9,114,1
150,9,115,2
151,9,119,1
152,9,124,1
153,9,125,1
154,9,128,2
155,9,130,1
156,9,131,1
157,9,132,1
158,9,135,3
159,9,136,4
160,9,137,1
161,9,140,1
162,9,145,1
163,9,146,1
164,9,160,1
165,9,161,2
166,9,163,1
167,9,167,1
168,9,170,1
169,9,171,1
170,9,173,2
171,9,175,1
172,9,176,1
173,9,185,1
174,9,188,1
175,9,192,1
176,9,194,1
177,9,199,1
178,11,3,2
179,11,4,2
180,11,6,3
181,11,9,2
182,11,13,1
183,11,24,1
184,11,30,1
185,11,33,1
186,11,35,36
187,11,37,2
188,11,38,2
189,11,40,4
190,11,41,1
191,11,45,1
192,11,46,1
193,11,47,2
194,11,49,2
195,11,50,6
196,11,52,3
197,11,53,2
198,11,56,1
199,11,59,2
200,11,63,2
201,11,66,1
202,11,70,1
203,11,78,1
204,11,80,2
205,11,82,1
206,11,107,1
207,11,110,1
208,11,114,1
209,11,115,2
210,11,119,1
211,11,124,1
212,11,125,1
213,11,128,2
214,11,130,1
215,11,131,1
216,11,132,1
217,11,135,3
218,11,136,4
219,11,137,1
220,11,140,1
221,11,145,1
222,11,146,1
223,11,160,1
224,11,161,2
225,11,163,1
226,11,167,1
227,11,170,1
228,11,171,1
229,11,173,2
230,11,175,1
231,11,176,1
232,11,185,1
233,11,188,1
234,11,192,1
235,11,194,1
236,11,199,1
237,13,35,5
238,13,40,1
239,13,50,1
240,13,136,1
241,21,3,1
242,21,4,1
243,21,6,1
244,21,9,1
245,21,11,1
246,21,35,12
247,21,37,1
248,21,38,1
249,21,40,1
250,21,47,1
251,21,49,1
252,21,50,2
253,21,52,1
254,21,53,1
255,21,59,1
256,21,63,1
257,21,80,1
258,21,115,1
259,21,128,1
260,21,135,1
261,21,136,1
262,21,161,1
263,21,173,1
264,24,3,1
265,24,4,1
266,24,6,1
267,24,9,1
268,24,11,1
269,24,35,13
270,24,37,1
271,24,38,1
272,24,40,2
273,24,41,1
274,24,45,1
275,24,46,1
276,24,47,1
277,24,49,1
278,24,50,2
279,24,52,1
280,24,53,1
281,24,59,1
282,24,63,1
283,24,80,1
284,24,115,1
285,24,128,1
286,24,135,1
287,24,136,2
288,24,161,1
289,24,173,1
290,25,35,5
291,25,40,1
292,25,50,1
293,25,136,1
294,28,6,1
295,28,11,1
296,28,35,8
297,28,37,1
298,28,40,1
299,28,49,1
300,28,50,1
301,28,52,1
302,28,63,1
303,28,135,1
304,28,136,1
305,28,161,1
306,30,6,1
307,30,35,7
308,30,40,1
309,30,50,1
310,30,52,1
311,30,135,1
312,30,136,1
313,31,3,1
314,31,4,1
315,31,6,1
316,31,9,1
317,31,11,1
318,31,35,15
319,31,37,1
320,31,38,1
321,31,40,2
322,31,41,1
323,31,45,1
324,31,46,1
325,31,47,1
326,31,49,1
327,31,50,2
328,31,52,1
329,31,53,1
330,31,59,1
331,31,63,1
332,31,80,1
333,31,115,1
334,31,128,1
335,31,131,1
336,31,135,1
337,31,136,2
338,31,161,1
339,31,171,1
340,31,173,1
341,32,35,4
342,32,50,1
343,33,3,1
344,33,6,1
345,33,9,1
346,33,11,1
347,33,35,11
348,33,37,1
349,33,38,1
350,33,40,1
351,33,47,1
352,33,49,1
353,33,50,2
354,33,52,1
355,33,53,1
356,33,59,1
357,33,63,1
358,33,80,1
359,33,115,1
360,33,135,1
361,33,136,1
362,33,161,1
363,33,173,1
364,35,3,6
365,35,4,6
366,35,6,11
367,35,9,6
368,35,11,9
369,35,13,2
370,35,21,1
371,35,24,4
372,35,25,1
373,35,28,2
374,35,30,2
375,35,31,2
376,35,32,1
377,35,33,3
378,35,37,9
379,35,38,7
380,35,40,16
381,35,41,5
382,35,45,5
383,35,46,5
384,35,47,7
385,35,49,9
386,35,50,22
387,35,52,10
388,35,53,6
389,35,56,2
390,35,58,1
391,35,59,7
392,35,62,1
393,35,63,9
394,35,65,2
395,35,66,2
396,35,68,1
397,35,70,3
398,35,71,2
399,35,72,2
400,35,74,1
401,35,75,2
402,35,76,1
403,35,78,3
404,35,80,6
405,35,81,1
406,35,82,4
407,35,84,1
408,35,86,2
409,35,88,1
410,35,89,1
411,35,94,2
412,35,99,1
413,35,101,1
414,35,107,4
415,35,110,4
416,35,114,4
417,35,115,7
418,35,119,3
419,35,124,2
420,35,125,2
421,35,127,1
422,35,128,6
423,35,129,2
424,35,130,4
425,35,131,4
426,35,132,3
427,35,133,1
428,35,135,11
429,35,136,16
430,35,137,3
431,35,139,1
432,35,140,3
433,35,141,1
434,35,144,2
435,35,145,3
436,35,146,3
437,35,148,1
438,35,152,1
439,35,154,1
440,35,156,1
441,35,160,2
442,35,161,9
443,35,163,3
444,35,167,3
445,35,170,4
446,35,171,5
447,35,173,7
448,35,175,2
449,35,176,2
450,35,185,3
451,35,188,2
452,35,192,4
453,35,194,4
454,35,199,3
455,35,202,1
456,35,203,1
457,35,204,1
458,35,205,1
459,37,3,1
460,37,4,1
461,37,6,2
462,37,9,1
463,37,11,2
464,37,24,1
465,37,33,1
466,37,35,29
467,37,38,2
468,37,40,3
469,37,41,1
470,37,45,1
471,37,46,1
472,37,47,2
