;agrprod;avgemployers;avgsalary;badcompanies;beforeschool;budincome;cinemas;circuses;cliniccap;consnewapt;consnewareas;cultureorg;docsnum;factoriescap;foodseats;foodservturnover;funds;goodcompanies;goodcompincome;harvest;hospitalcap;hospitals;invest;library;livarea;livestock;munipoliceworkers;musartschool;museums;naturesecure;parks;pollutcapturedperc;pollutionvol;popsize;retailturnover;roadslen;schoolnum;servicesnum;shoparea;socialaidcenters;socialaidcenterscap;socialaidhomeservices;sportschool;sportsvenue;theatres;visiblecompanies;zoos;badhousesdwellers;litstreetperc
1512000;0.05276185312801431;0.0029021019856371295;0.08078010787365694;0.0;0.3420813480748358;0.0;0.0;0.0;0.0;0.0;0.0006611255974765133;0.0;0.0;0.00011575540163213805;0.0;0.0;0.020690404960232188;0.0;0.0;8.964650000896465e-06;0.0;0.3419783292555051;0.0003834154521931505;0.0;0.21428571428571427;2.1692579187420997e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00680723952675924;0.009493619554697987;0.08732133949265579;0.0;0.31750684962397535;0.0;0.0;0.0;0.0;0.0;0.29504445314614747;0.0;0.0;0.0;0.0;0.11701308698999228
1539000;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.022528721290941293;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1541000;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0018752018318997153;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1558000;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0055846275039387805;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1601000;0.24278716495946898;0.002648691409822194;0.08059451185894108;0.0;0.2017074181516784;0.035040410690459774;0.0;0.0;0.03708712956335003;0.0;0.00048382911266589096;0.025550286327845385;0.029811781548696785;0.0004299469111669691;0.0;0.00027431308215759284;0.007639672774976294;0.0;0.0;1.1500040001150006e-05;0.010106065701487409;0.5252684323550466;0.0009822886411084072;0.0;0.21879699248120302;0.00012957916595012476;0.0;0.0;0.0;0.0;0.0;0.016901408450704227;0.00016659279263805114;0.008352170977306755;0.0;0.07214889842211913;0.31954187544738727;0.0216747100160867;0.0;0.0;0.11173327459941634;0.020894675555584878;0.0;0.36549103610852474;0.0;0.0;0.0;0.0;0.33666154633896567
1602000;0.05724636847875254;0.005967268167885609;0.08168950356659044;0.04165967830485202;0.2651738446702173;0.030615670080228124;0.0;0.0;0.047097696343039605;0.0;0.004630437500864384;0.013568672546187181;0.13457006006234318;0.0003191838837264031;0.0;0.0004009977256215365;0.015999909199149905;0.0170326078692578;1.2607177747405778e-05;4.172584000417258e-05;0.06976973283840675;0.139473884284954;0.0015277404529379245;0.014882536303504904;0.17969924812030075;6.647246826333023e-05;0.0;0.03850832509693606;0.0;0.0;0.0;0.20422535211267606;0.0001452003513140874;0.015897014355752578;0.01018796510270805;0.06581334497764653;0.1272713449403178;0.16114725860815923;0.0;0.0;0.029668399721619523;0.0;0.04631751583017454;0.22853330010192363;0.0;0.02609349454975668;0.0;0.0;0.09039548022598869
1603000;0.18255405599839955;0.0020493203087642597;0.08538556518942315;0.0;0.24732233385565489;0.04668830748304856;0.03420482028187807;0.0;0.15287180385288965;0.0;0.00025708400529908613;0.04465067550662997;0.26917246758598357;0.00015739103246248598;0.0;0.00016525478506818214;0.009510403609340641;0.0;0.0;8.538000000853801e-06;0.1170038795665232;0.2753815361521141;0.000123798379068111;0.0;0.24285714285714283;8.980027026266883e-05;0.0;0.1267200400300225;0.0;0.0;0.0;0.07746478873239436;0.0001430322376868598;0.0046971787570090715;0.004526898940387438;0.12999104390706345;0.2094070552914686;0.2556756276885083;0.0;0.0;0.0;0.018257356611928992;0.15241788484220306;0.4120759742739385;0.0;0.0;0.0;0.004338043742597158;0.004663212435233161
1604000;0.09345693519716637;0.008034217038445689;0.08699199905244438;0.025849937826002575;0.23405526017837397;0.03135690883860214;0.0;0.0;0.06951827273870928;0.0;0.003295658940865428;0.01122586174361555;0.13753117299253328;0.0007361159628432746;0.0;0.00042330298981322386;0.00446150401351612;0.032880639894545115;0.00016746027497924714;4.926287000492629e-05;0.07659406774149859;0.20001258019876714;0.0007567428968310015;0.012312869543338784;0.18947368421052632;0.0005550338335893497;0.0;0.03185935337778337;0.03185935337778337;2.784051863481264e-05;0.0;0.041314553990610334;0.00025995416158686125;0.019254763232833278;0.00473488808446367;0.10260032359551503;0.11407095232104666;0.0761846015661671;0.0;0.0;0.0;0.0;0.038320184030336255;0.24087509943559365;0.0;0.030840153641334005;0.0;0.006199486763079668;0.04870466321243523
1605000;0.06247851827327223;0.01144314017571269;0.09658277842437657;0.03197403808899004;0.35210784293652514;0.04525238840669122;0.0;0.0;0.05685054851007546;0.0;0.0007150856602351894;0.013885376954796545;0.14851190612399942;0.0015514774007676759;0.0;0.0007010715532122754;0.01592899216409565;0.040670381470744435;0.0008249176237356428;1.888988000188899e-05;0.11190297629694423;0.2283669182292072;0.0010961613684202403;0.0;0.21503759398496242;5.872477950442895e-05;0.0;0.03940714230140823;0.03940714230140823;0.0012183447132834858;0.0;0.3976525821596244;0.005100520782408923;0.015530047265361242;0.01134368788858843;0.03835077171036665;0.1953629502839804;0.3916578615594535;0.0;0.10247931740968386;0.06727019731999115;0.017032907736220383;0.04739860621755899;0.24668211803920445;0.0;0.038146484290821445;0.0;0.011928319093961358;0.452991452991453
1606000;0.05894688233599507;0.0025142736261290544;0.08034597674177152;0.0;0.45897352075841774;0.05690628928865768;0.10614648033126294;0.0;0.09728501552795031;0.0;0.00025608354419419166;0.04618756469979296;0.19760077944221166;0.0002506883765398688;0.0;0.0;0.012987047151261396;0.0;0.0;7.022430000702243e-06;0.11418036510884048;0.47476708074534163;0.0004114450645999701;0.0;0.27293233082706764;6.830577967411777e-05;0.0;0.13108178053830227;0.0;0.0;0.0;0.06807511737089202;0.0003753311248004401;0.0045344900136022465;0.003218884740069847;0.07399079091324161;0.14440993788819875;0.09795409514904606;0.0;0.0;0.0;0.0;0.0;0.37297728015691406;0.0;0.03806651883462174;0.0;0.0153514963297572;0.4869390488948426
