,from_territory_id,to_territory_id,n_people
347,9,19,1
348,9,29,3
349,9,35,9
350,9,36,6
351,9,37,1
352,9,38,1
353,9,39,10
354,9,40,1
355,9,41,1
356,9,42,4
357,9,44,9
358,9,45,1
359,9,46,1
360,9,47,1
361,9,48,1
362,9,49,1
363,9,50,2
364,9,51,3
365,9,52,1
366,9,53,1
367,9,59,1
368,9,60,3
369,9,63,1
370,9,64,1
371,9,69,1
372,9,70,1
373,9,71,1
374,9,72,1
375,9,73,4
376,9,75,1
377,9,77,1
378,9,78,1
379,9,79,1
380,9,80,1
381,9,82,1
382,9,91,1
383,9,103,1
384,9,109,2
385,9,111,3
386,9,117,1
387,9,120,1
388,9,128,1
389,9,135,1
390,9,136,2
391,9,149,1
392,9,158,1
393,9,161,1
394,9,169,2
395,9,173,1
396,9,180,3
397,9,186,6
398,9,192,1
399,9,197,1
400,9,200,1
401,11,3,1
402,11,4,1
403,11,5,3
404,11,6,1
405,11,7,2
406,11,9,1
407,11,12,1
408,11,14,1
409,11,15,2
410,11,16,2
411,11,17,1
412,11,19,1
413,11,22,1
414,11,26,1
415,11,29,4
416,11,35,12
417,11,36,8
418,11,37,1
419,11,38,1
420,11,39,14
421,11,40,2
422,11,41,1
423,11,42,5
424,11,44,12
425,11,45,1
426,11,46,1
427,11,47,1
428,11,48,1
429,11,49,1
430,11,50,3
431,11,51,4
432,11,52,1
433,11,53,1
434,11,56,1
435,11,59,1
436,11,60,4
437,11,61,1
438,11,63,1
439,11,64,1
440,11,66,1
441,11,69,1
442,11,70,1
443,11,71,1
444,11,72,1
445,11,73,5
446,11,75,1
447,11,76,1
448,11,77,1
449,11,78,1
450,11,79,1
451,11,80,1
452,11,82,1
453,11,84,1
454,11,91,1
455,11,96,1
456,11,103,2
457,11,109,2
458,11,111,4
459,11,112,1
460,11,113,1
461,11,115,1
462,11,117,2
463,11,120,1
464,11,126,1
465,11,128,1
466,11,130,1
467,11,135,2
468,11,136,2
469,11,140,1
470,11,149,1
471,11,158,2
472,11,161,2
473,11,169,3
474,11,170,1
475,11,173,1
476,11,180,3
477,11,185,1
478,11,186,8
479,11,192,1
480,11,194,1
481,11,197,1
482,11,200,1
483,12,3,1
484,12,5,2
485,12,6,1
486,12,7,1
487,12,9,1
488,12,11,1
489,12,14,1
490,12,15,1
491,12,16,1
492,12,17,1
493,12,19,1
494,12,29,3
495,12,35,9
496,12,36,6
497,12,37,1
498,12,38,1
499,12,39,10
500,12,40,1
501,12,41,1
502,12,42,3
503,12,44,9
504,12,45,1
505,12,46,1
506,12,47,1
507,12,48,1
508,12,49,1
509,12,50,2
510,12,51,3
511,12,52,1
512,12,53,1
513,12,59,1
514,12,60,3
515,12,63,1
516,12,64,1
517,12,69,1
518,12,70,1
519,12,71,1
520,12,72,1
521,12,73,4
522,12,77,1
523,12,78,1
524,12,79,1
525,12,80,1
526,12,82,1
527,12,91,1
528,12,103,1
529,12,109,1
530,12,111,2
531,12,117,1
532,12,120,1
533,12,128,1
534,12,135,1
535,12,136,2
536,12,149,1
537,12,158,1
538,12,161,1
539,12,169,2
540,12,173,1
541,12,180,2
542,12,186,5
543,12,192,1
544,12,197,1
545,12,200,1
546,13,29,1
547,13,35,2
548,13,36,1
549,13,39,2
550,13,42,1
551,13,44,2
552,13,51,1
553,13,60,1
554,13,73,1
555,13,186,1
556,14,5,1
557,14,6,1
558,14,7,1
559,14,9,1
560,14,11,1
561,14,12,1
562,14,15,1
563,14,16,1
564,14,17,1
565,14,19,1
566,14,29,2
567,14,35,6
568,14,36,4
569,14,37,1
570,14,39,7
571,14,40,1
572,14,42,2
573,14,44,6
574,14,47,1
575,14,48,1
576,14,49,1
577,14,50,1
578,14,51,2
579,14,52,1
580,14,59,1
581,14,60,2
582,14,63,1
583,14,73,2
584,14,77,1
585,14,80,1
586,14,82,1
587,14,91,1
588,14,103,1
589,14,109,1
590,14,111,2
591,14,117,1
592,14,135,1
593,14,136,1
594,14,149,1
595,14,158,1
596,14,161,1
597,14,169,2
598,14,180,2
599,14,186,4
600,14,197,1
601,15,3,1
602,15,4,1
603,15,5,3
604,15,6,1
605,15,7,2
606,15,9,1
607,15,11,2
608,15,12,1
609,15,14,1
610,15,16,2
611,15,17,1
612,15,19,1
613,15,26,1
614,15,29,4
615,15,35,11
616,15,36,8
617,15,37,1
618,15,38,1
619,15,39,13
620,15,40,1
621,15,41,1
622,15,42,5
623,15,44,11
624,15,45,1
625,15,46,1
626,15,47,1
627,15,48,1
628,15,49,1
629,15,50,2
630,15,51,3
631,15,52,1
632,15,53,1
633,15,56,1
634,15,59,1
635,15,60,4
636,15,63,1
637,15,64,1
638,15,69,1
639,15,70,1
640,15,71,1
641,15,72,1
642,15,73,5
643,15,75,1
644,15,77,1
645,15,78,1
646,15,79,1
647,15,80,1
648,15,82,1
649,15,84,1
650,15,91,1
651,15,96,1
652,15,103,2
653,15,109,2
654,15,111,3
655,15,113,1
656,15,117,2
657,15,120,1
658,15,126,1
659,15,128,1
660,15,130,1
661,15,135,2
662,15,136,2
663,15,149,1
664,15,158,1
665,15,161,2
666,15,169,3
667,15,170,1
668,15,173,1
669,15,180,3
670,15,185,1
671,15,186,7
672,15,192,1
673,15,194,1
674,15,197,1
675,15,200,1
676,16,3,1
677,16,4,1
678,16,5,2
679,16,6,1
680,16,7,2
681,16,9,1
682,16,11,1
683,16,12,1
684,16,14,1
685,16,15,2
686,16,17,1
687,16,19,1
688,16,26,1
689,16,29,3
690,16,35,10
691,16,36,7
692,16,37,1
693,16,38,1
694,16,39,11
695,16,40,1
696,16,41,1
697,16,42,4
698,16,44,10
699,16,45,1
700,16,46,1
701,16,47,1
702,16,48,1
703,16,49,1
704,16,50,2
705,16,51,3
706,16,52,1
707,16,53,1
708,16,59,1
709,16,60,3
710,16,63,1
711,16,64,1
712,16,69,1
713,16,70,1
714,16,71,1
715,16,72,1
716,16,73,4
717,16,75,1
718,16,77,1
719,16,78,1
720,16,79,1
721,16,80,1
722,16,82,1
723,16,84,1
724,16,91,1
725,16,103,1
726,16,109,2
727,16,111,3
728,16,113,1
729,16,117,2
730,16,120,1
731,16,128,1
732,16,135,2
733,16,136,2
734,16,149,1
735,16,158,1
736,16,161,2
737,16,169,3
738,16,173,1
739,16,180,3
740,16,186,6
741,16,192,1
742,16,197,1
743,16,200,1
744,17,5,2
745,17,6,1
746,17,7,1
747,17,9,1
748,17,11,1
749,17,12,1
750,17,14,1
751,17,15,1
752,17,16,1
753,17,19,1
754,17,29,2
755,17,35,7
756,17,36,5
757,17,37,1
758,17,38,1
759,17,39,8
760,17,40,1
761,17,41,1
762,17,42,3
763,17,44,7
764,17,45,1
765,17,47,1
766,17,48,1
767,17,49,1
768,17,50,2
769,17,51,2
770,17,52,1
771,17,53,1
772,17,59,1
773,17,60,2
774,17,63,1
775,17,64,1
776,17,69,1
777,17,70,1
778,17,73,3
779,17,77,1
780,17,79,1
781,17,80,1
782,17,82,1
783,17,91,1
784,17,103,1
785,17,109,1
786,17,111,2
787,17,117,1
788,17,128,1
789,17,135,1
790,17,136,1
791,17,149,1
792,17,158,1
793,17,161,1
794,17,169,2
795,17,173,1
796,17,180,2
797,17,186,5
798,17,197,1
799,19,5,1
800,19,7,1
801,19,11,1
802,19,12,1
803,19,15,1
804,19,16,1
805,19,29,2
806,19,35,5
807,19,36,3
808,19,37,1
809,19,39,6
810,19,40,1
811,19,42,2
812,19,44,5
813,19,47,1
814,19,48,1
815,19,49,1
816,19,50,1
817,19,51,2
818,19,52,1
819,19,59,1
820,19,60,2
821,19,73,2
822,19,91,1
823,19,103,1
824,19,109,1
825,19,111,1
826,19,117,1
827,19,135,1
828,19,136,1
829,19,158,1
830,19,161,1
831,19,169,1
832,19,180,1
833,19,186,3
834,19,197,1
835,21,5,1
836,21,29,1
837,21,35,3
838,21,36,2
839,21,39,3
840,21,42,1
841,21,44,3
842,21,50,1
843,21,51,1
844,21,60,1
845,21,73,1
846,21,111,1
847,21,136,1
848,21,169,1
849,21,180,1
850,21,186,2
851,22,29,1
852,22,35,2
853,22,36,1
854,22,39,2
855,22,42,1
856,22,44,2
857,22,51,1
858,22,60,1
859,22,73,1
860,22,111,1
861,22,169,1
862,22,180,1
863,22,186,1
864,24,5,1
865,24,7,1
866,24,11,1
867,24,12,1
868,24,15,1
869,24,16,1
870,24,17,1
871,24,19,1
872,24,29,2
873,24,35,5
874,24,36,4
875,24,37,1
876,24,39,6
877,24,40,1
878,24,42,2
879,24,44,5
880,24,47,1
881,24,48,1
882,24,49,1
883,24,50,1
884,24,51,2
885,24,52,1
886,24,59,1
887,24,60,2
888,24,73,2
889,24,77,1
890,24,80,1
891,24,91,1
892,24,103,1
893,24,109,1
894,24,111,2
895,24,117,1
896,24,135,1
897,24,136,1
898,24,158,1
899,24,161,1
900,24,169,1
901,24,180,1
902,24,186,3
903,24,197,1
904,25,35,1
905,25,36,1
906,25,39,1
907,25,44,1
908,26,5,1
909,26,7,1
910,26,11,1
911,26,12,1
912,26,15,1
913,26,16,1
914,26,29,2
915,26,35,5
916,26,36,3
917,26,37,1
918,26,39,6
919,26,40,1
920,26,42,2
921,26,44,5
922,26,47,1
923,26,48,1
924,26,49,1
925,26,50,1
926,26,51,2
927,26,52,1
928,26,59,1
929,26,60,2
930,26,73,2
931,26,91,1
932,26,103,1
933,26,109,1
934,26,111,1
935,26,117,1
936,26,135,1
937,26,136,1
938,26,158,1
939,26,161,1
940,26,169,1
941,26,180,1
942,26,186,3
943,26,197,1
944,28,29,1
945,28,35,2
946,28,36,1
947,28,39,2
948,28,42,1
949,28,44,2
950,28,51,1
951,28,60,1
952,28,73,1
953,28,111,1
954,28,169,1
955,28,180,1
956,28,186,1
957,29,3,2
958,29,4,1
959,29,5,6
960,29,6,2
961,29,7,4
962,29,8,1
963,29,9,2
964,29,11,4
965,29,12,3
966,29,14,2
967,29,15,4
968,29,16,3
969,29,17,3
970,29,19,2
971,29,21,1
972,29,22,1
973,29,24,1
974,29,26,1
975,29,30,1
976,29,31,1
977,29,33,1
978,29,35,25
979,29,36,18
980,29,37,3
981,29,38,2
982,29,39,29
983,29,40,3
984,29,41,2
985,29,42,10
986,29,44,25
987,29,45,2
988,29,46,2
989,29,47,3
990,29,48,3
991,29,49,3
992,29,50,5
993,29,51,8
994,29,52,3
995,29,53,2
996,29,55,1
997,29,56,1
998,29,58,1
999,29,59,3
1000,29,60,8
1001,29,61,1
1002,29,62,1
1003,29,63,2
1004,29,64,2
1005,29,65,1
1006,29,66,1
1007,29,68,1
1008,29,69,2
1009,29,70,2
1010,29,71,2
1011,29,72,2
1012,29,73,11
1013,29,74,1
1014,29,75,1
1015,29,76,1
1016,29,77,3
1017,29,78,2
1018,29,79,2
1019,29,80,3
1020,29,81,1
1021,29,82,2
1022,29,83,1
1023,29,84,1
1024,29,91,3
1025,29,96,1
1026,29,103,3
1027,29,109,4
1028,29,110,1
1029,29,111,7
1030,29,112,1
1031,29,113,1
1032,29,114,1
1033,29,115,1
1034,29,117,4
1035,29,118,1
1036,29,120,2
1037,29,121,1
1038,29,123,1
1039,29,125,1
1040,29,126,1
1041,29,128,2
1042,29,130,1
1043,29,131,1
1044,29,132,1
1045,29,133,1
1046,29,134,1
1047,29,135,4
1048,29,136,5
1049,29,137,1
1050,29,140,1
1051,29,146,1
1052,29,147,1
1053,29,149,2
1054,29,154,1
1055,29,155,1
1056,29,158,3
1057,29,160,1
1058,29,161,4
1059,29,163,1
1060,29,167,1
1061,29,169,7
1062,29,170,1
1063,29,171,1
1064,29,173,2
1065,29,176,1
1066,29,177,1
1067,29,180,7
1068,29,181,1
1069,29,185,1
1070,29,186,16
1071,29,187,1
1072,29,188,1
1073,29,190,1
1074,29,192,1
1075,29,194,1
1076,29,197,3
1077,29,200,2
1078,29,202,1
1079,30,29,1
1080,30,35,2
1081,30,36,1
1082,30,39,2
1083,30,42,1
1084,30,44,2
1085,30,51,1
1086,30,60,1
1087,30,73,1
1088,30,111,1
1089,30,169,1
1090,30,180,1
1091,30,186,1
1092,31,35,1
1093,31,36,1
1094,31,39,2
1095,31,42,1
1096,31,44,1
1097,31,73,1
1098,31,186,1
1099,32,5,1
1100,32,29,1
1101,32,35,2
1102,32,36,2
1103,32,39,3
1104,32,42,1
1105,32,44,2
1106,32,50,1
1107,32,51,1
1108,32,60,1
1109,32,73,1
1110,32,111,1
1111,32,169,1
1112,32,180,1
1113,32,186,1
1114,33,5,1
1115,33,29,1
1116,33,35,2
1117,33,36,2
1118,33,39,3
1119,33,42,1
1120,33,44,2
1121,33,50,1
1122,33,51,1
1123,33,60,1
1124,33,73,1
1125,33,111,1
1126,33,169,1
1127,33,180,1
1128,33,186,1
1129,35,3,3
1130,35,4,2
1131,35,5,10
1132,35,6,4
1133,35,7,7
1134,35,8,1
1135,35,9,4
1136,35,11,6
1137,35,12,4
1138,35,13,1
1139,35,14,4
1140,35,15,8
1141,35,16,6
1142,35,17,4
1143,35,19,4
1144,35,21,1
1145,35,22,2
1146,35,24,1
1147,35,26,2
1148,35,28,1
1149,35,29,14
1150,35,30,1
1151,35,31,1
1152,35,32,1
1153,35,33,1
1154,35,36,30
1155,35,37,5
1156,35,38,4
1157,35,39,51
1158,35,40,6
1159,35,41,3
1160,35,42,18
1161,35,44,44
1162,35,45,4
1163,35,46,3
1164,35,47,5
1165,35,48,5
1166,35,49,5
1167,35,50,10
1168,35,51,13
1169,35,52,5
1170,35,53,3
1171,35,55,2
1172,35,56,2
1173,35,58,1
1174,35,59,5
1175,35,60,14
1176,35,61,2
1177,35,62,1
1178,35,63,4
1179,35,64,3
1180,35,65,2
1181,35,66,2
1182,35,68,2
1183,35,69,4
1184,35,70,4
1185,35,71,3
1186,35,72,3
1187,35,73,19
1188,35,74,2
1189,35,75,3
1190,35,76,2
1191,35,77,4
1192,35,78,3
1193,35,79,4
1194,35,80,4
1195,35,81,1
1196,35,82,4
1197,35,83,2
1198,35,84,2
1199,35,87,1
1200,35,91,5
1201,35,92,1
1202,35,94,1
1203,35,96,2
1204,35,103,6
1205,35,109,8
1206,35,110,1
1207,35,111,13
1208,35,112,2
1209,35,113,2
1210,35,114,1
1211,35,115,2
1212,35,117,7
1213,35,118,2
1214,35,119,1
1215,35,120,3
1216,35,121,1
1217,35,123,1
1218,35,124,1
1219,35,125,1
1220,35,126,2
1221,35,127,1
1222,35,128,3
1223,35,130,2
1224,35,131,2
1225,35,132,1
1226,35,133,1
1227,35,134,2
1228,35,135,7
1229,35,136,9
1230,35,137,2
1231,35,140,2
1232,35,145,1
1233,35,146,1
1234,35,147,1
1235,35,149,4
1236,35,154,1
1237,35,155,1
1238,35,156,1
1239,35,158,6
1240,35,160,1
1241,35,161,7
1242,35,163,1
1243,35,164,1
1244,35,167,1
1245,35,169,12
1246,35,170,2
1247,35,171,1
1248,35,173,4
1249,35,176,1
1250,35,177,1
1251,35,180,12
1252,35,181,1
1253,35,185,2
1254,35,186,28
1255,35,187,2
1256,35,188,1
1257,35,190,1
1258,35,192,3
1259,35,194,2
1260,35,196,1
1261,35,197,5
1262,35,199,1
1263,35,200,3
1264,35,202,1
1265,35,203,1
1266,36,3,4
1267,36,4,3
1268,36,5,13
1269,36,6,5
1270,36,7,9
1271,36,8,1
1272,36,9,5
1273,36,11,8
1274,36,12,6
1275,36,13,1
1276,36,14,5
1277,36,15,9
1278,36,16,8
1279,36,17,5
1280,36,19,5
1281,36,21,1
1282,36,22,2
1283,36,24,1
1284,36,26,3
1285,36,28,1
1286,36,29,18
1287,36,30,1
1288,36,31,2
1289,36,32,1
1290,36,33,2
1291,36,35,55
1292,36,37,7
1293,36,38,5
1294,36,39,63
1295,36,40,7
1296,36,41,4
1297,36,42,22
1298,36,44,55
1299,36,45,5
1300,36,46,3
1301,36,47,6
1302,36,48,7
1303,36,49,6
1304,36,50,12
1305,36,51,17
1306,36,52,7
1307,36,53,4
1308,36,55,2
1309,36,56,3
1310,36,58,2
1311,36,59,7
1312,36,60,17
1313,36,61,2
1314,36,62,2
1315,36,63,5
1316,36,64,4
1317,36,65,2
1318,36,66,2
1319,36,68,2
1320,36,69,5
1321,36,70,5
1322,36,71,3
1323,36,72,3
1324,36,73,23
1325,36,74,2
1326,36,75,3
1327,36,76,2
1328,36,77,6
1329,36,78,4
1330,36,79,5
1331,36,80,6
1332,36,81,1
1333,36,82,5
1334,36,83,2
1335,36,84,3
1336,36,87,1
1337,36,91,7
1338,36,92,1
1339,36,94,1
1340,36,96,3
1341,36,103,7
1342,36,105,1
1343,36,109,9
1344,36,110,1
1345,36,111,16
1346,36,112,2
1347,36,113,3
1348,36,114,2
1349,36,115,2
1350,36,117,9
1351,36,118,2
1352,36,119,1
1353,36,120,3
1354,36,121,1
1355,36,123,1
1356,36,124,1
1357,36,125,1
1358,36,126,3
1359,36,127,1
1360,36,128,4
1361,36,129,1
1362,36,130,3
1363,36,131,2
1364,36,132,1
1365,36,133,1
1366,36,134,2
1367,36,135,9
1368,36,136,11
1369,36,137,2
1370,36,139,1
1371,36,140,2
1372,36,143,1
1373,36,145,1
1374,36,146,2
1375,36,147,1
1376,36,149,5
1377,36,154,1
1378,36,155,1
1379,36,156,1
1380,36,158,7
1381,36,160,1
1382,36,161,9
1383,36,163,1
1384,36,164,1
1385,36,167,1
1386,36,169,14
1387,36,170,3
1388,36,171,1
1389,36,173,4
1390,36,175,1
1391,36,176,1
1392,36,177,1
1393,36,180,15
1394,36,181,1
1395,36,185,3
1396,36,186,34
1397,36,187,2
1398,36,188,1
1399,36,190,2
1400,36,192,3
1401,36,194,3
1402,36,196,1
1403,36,197,6
1404,36,199,1
1405,36,200,4
1406,36,202,2
1407,36,203,1
1408,36,204,1
1409,37,3,1
1410,37,4,1
1411,37,5,2
1412,37,6,1
1413,37,7,2
1414,37,9,1
1415,37,11,1
1416,37,12,1
1417,37,14,1
1418,37,15,2
1419,37,16,1
1420,37,17,1
1421,37,19,1
1422,37,29,3
1423,37,35,10
1424,37,36,7
1425,37,38,1
1426,37,39,11
1427,37,40,1
1428,37,41,1
1429,37,42,4
1430,37,44,10
1431,37,45,1
1432,37,46,1
1433,37,47,1
1434,37,48,1
1435,37,49,1
1436,37,50,2
1437,37,51,3
1438,37,52,1
1439,37,53,1
1440,37,59,1
1441,37,60,3
1442,37,63,1
1443,37,64,1
1444,37,69,1
1445,37,70,1
1446,37,71,1
1447,37,72,1
1448,37,73,4
1449,37,75,1
1450,37,77,1
1451,37,78,1
1452,37,79,1
1453,37,80,1
1454,37,82,1
1455,37,84,1
1456,37,91,1
1457,37,103,1
1458,37,109,2
1459,37,111,3
1460,37,113,1
1461,37,117,2
1462,37,120,1
1463,37,128,1
1464,37,135,2
1465,37,136,2
1466,37,149,1
1467,37,158,1
1468,37,161,2
1469,37,169,3
1470,37,173,1
1471,37,180,3
1472,37,186,6
1473,37,192,1
1474,37,197,1
1475,37,200,1
1476,38,3,1
1477,38,5,2
1478,38,6,1
1479,38,7,1
1480,38,9,1
1481,38,11,1
1482,38,12,1
1483,38,14,1
1484,38,15,1
1485,38,16,1
1486,38,17,1
1487,38,19,1
1488,38,29,3
1489,38,35,8
1490,38,36,5
1491,38,37,1
1492,38,39,9
1493,38,40,1
1494,38,41,1
1495,38,42,3
1496,38,44,8
1497,38,45,1
1498,38,47,1
1499,38,48,1
1500,38,49,1
1501,38,50,2
1502,38,51,2
1503,38,52,1
1504,38,53,1
1505,38,59,1
1506,38,60,2
1507,38,63,1
1508,38,64,1
1509,38,69,1
1510,38,70,1
1511,38,73,3
1512,38,77,1
1513,38,78,1
1514,38,79,1
1515,38,80,1
1516,38,82,1
1517,38,91,1
1518,38,103,1
1519,38,109,1
1520,38,111,2
1521,38,117,1
1522,38,128,1
1523,38,135,1
1524,38,136,2
1525,38,149,1
1526,38,158,1
1527,38,161,1
1528,38,169,2
1529,38,173,1
1530,38,180,2
1531,38,186,5
1532,38,197,1
1533,38,200,1
1534,39,3,5
1535,39,4,4
1536,39,5,17
1537,39,6,7
1538,39,7,12
1539,39,8,2
1540,39,9,7
1541,39,11,11
1542,39,12,8
1543,39,13,1
1544,39,14,6
1545,39,15,13
1546,39,16,10
1547,39,17,8
1548,39,19,7
1549,39,21,2
1550,39,22,3
1551,39,24,2
1552,39,26,4
1553,39,28,1
1554,39,29,25
1555,39,30,2
1556,39,31,2
1557,39,32,1
1558,39,33,3
1559,39,35,75
1560,39,36,52
1561,39,37,9
1562,39,38,6
1563,39,40,10
1564,39,41,6
1565,39,42,31
1566,39,44,75
1567,39,45,6
1568,39,46,5
1569,39,47,8
1570,39,48,9
1571,39,49,9
1572,39,50,16
1573,39,51,23
1574,39,52,9
1575,39,53,5
1576,39,55,3
1577,39,56,4
1578,39,57,1
1579,39,58,2
1580,39,59,9
1581,39,60,24
1582,39,61,3
1583,39,62,2
1584,39,63,7
1585,39,64,6
1586,39,65,3
1587,39,66,3
1588,39,68,3
1589,39,69,6
1590,39,70,6
1591,39,71,5
1592,39,72,5
1593,39,73,32
1594,39,74,3
1595,39,75,4
1596,39,76,3
1597,39,77,8
1598,39,78,5
1599,39,79,6
1600,39,80,8
1601,39,81,2
1602,39,82,7
1603,39,83,3
1604,39,84,4
1605,39,87,1
1606,39,88,1
1607,39,91,9
1608,39,92,1
1609,39,94,1
1610,39,95,1
1611,39,96,3
1612,39,101,1
1613,39,103,10
1614,39,105,1
1615,39,107,1
1616,39,109,13
1617,39,110,2
1618,39,111,22
1619,39,112,3
1620,39,113,4
1621,39,114,2
1622,39,115,3
1623,39,117,12
1624,39,118,3
1625,39,119,1
1626,39,120,5
1627,39,121,2
1628,39,123,2
1629,39,124,1
1630,39,125,2
1631,39,126,4
1632,39,127,1
1633,39,128,6
1634,39,129,1
1635,39,130,3
