oktmo,name,year,internat_inflow,internat_outflow,interreg_inflow,interreg_outflow,reg_inflow,reg_outflow,total_inflow,total_outflow
1616490,Телеутский сельсовет,2019,14.0,2.0,3.0,4.0,2.0,10.0,19.0,16.0
1616494,Толстовский сельсовет,2019,6.0,1.0,7.0,11.0,21.0,27.0,34.0,39.0
1617000,Ключевский муниципальный район,2019,36.0,32.0,188.0,263.0,435.0,525.0,659.0,820.0
1617406,Васильчуковский сельсовет,2019,3.0,5.0,18.0,19.0,29.0,19.0,50.0,43.0
1617412,Зелёнополянский сельсовет,2019,1.0,1.0,4.0,9.0,20.0,44.0,25.0,54.0
1617415,Истимисский сельсовет,2019,2.0,2.0,7.0,15.0,11.0,22.0,20.0,39.0
1617424,Ключевский сельсовет,2019,26.0,20.0,97.0,153.0,227.0,222.0,350.0,395.0
1617479,Северский сельсовет,2019,2.0,2.0,26.0,23.0,51.0,60.0,79.0,85.0
1618000,Косихинский муниципальный район,2019,35.0,2.0,125.0,164.0,351.0,452.0,511.0,618.0
1618430,Контошинский сельсовет,2019,1.0,2.0,6.0,14.0,21.0,69.0,28.0,85.0
1619000,Красногорский муниципальный район,2019,17.0,4.0,234.0,322.0,211.0,296.0,462.0,622.0
1619445,Новозыковский сельсовет,2019,4.0,2.0,16.0,23.0,10.0,13.0,30.0,38.0
1620000,Краснощёковский муниципальный район,2019,19.0,5.0,95.0,166.0,265.0,382.0,379.0,553.0
1620406,Акимовский сельсовет,2019,1.0,2.0,3.0,6.0,10.0,15.0,14.0,23.0
1620430,Краснощёковский сельсовет,2019,11.0,2.0,29.0,71.0,100.0,117.0,140.0,190.0
1620442,Маралихинский сельсовет,2019,1.0,1.0,11.0,13.0,38.0,43.0,50.0,57.0
1622000,Кулундинский муниципальный район,2019,133.0,141.0,287.0,359.0,617.0,608.0,1037.0,1108.0
1622411,Ананьевский сельсовет,2019,5.0,1.0,12.0,26.0,16.0,28.0,33.0,55.0
1622433,Воздвиженский сельсовет,2019,4.0,10.0,5.0,7.0,10.0,18.0,19.0,35.0
1622444,Златополинский сельсовет,2019,2.0,1.0,5.0,2.0,17.0,23.0,24.0,26.0
1622455,Константиновский сельсовет,2019,2.0,2.0,3.0,6.0,17.0,40.0,22.0,48.0
1622460,Кулундинский сельсовет,2019,88.0,97.0,196.0,256.0,433.0,329.0,717.0,682.0
1622466,Курский сельсовет,2019,11.0,5.0,17.0,10.0,41.0,47.0,69.0,62.0
1622472,Мирабилитский сельсовет,2019,4.0,7.0,2.0,6.0,18.0,13.0,24.0,26.0
1622477,Октябрьский сельсовет,2019,17.0,16.0,40.0,39.0,46.0,84.0,103.0,139.0
1623000,Курьинский муниципальный район,2019,11.0,2.0,79.0,119.0,197.0,269.0,287.0,390.0
1623466,Курьинский сельсовет,2019,4.0,1.0,33.0,34.0,92.0,71.0,129.0,106.0
1623488,Усть-Таловский сельсовет,2019,5.0,1.0,3.0,7.0,23.0,15.0,31.0,23.0
1624000,Кытмановский муниципальный район,2019,2.0,24.0,95.0,139.0,211.0,358.0,308.0,521.0
1624423,Кытмановский сельсовет,2019,2.0,13.0,33.0,60.0,93.0,153.0,128.0,226.0
1625000,Локтевский муниципальный район,2019,180.0,73.0,260.0,307.0,436.0,708.0,876.0,1088.0
1625101,город Горняк,2019,119.0,48.0,130.0,162.0,246.0,287.0,495.0,497.0
1625409,Второкаменский сельсовет,2019,8.0,1.0,9.0,8.0,10.0,15.0,27.0,24.0
1625413,Георгиевский сельсовет,2019,2.0,2.0,10.0,4.0,17.0,15.0,29.0,21.0
1625417,Гилёвский сельсовет,2019,7.0,1.0,6.0,3.0,11.0,32.0,24.0,36.0
1625419,Ермошихинский сельсовет,2019,1.0,1.0,1.0,3.0,4.0,9.0,6.0,13.0
1625426,Кировский сельсовет,2019,3.0,2.0,5.0,9.0,11.0,40.0,19.0,51.0
1625434,Локтевский сельсовет,2019,1.0,4.0,10.0,10.0,10.0,23.0,21.0,37.0
1625440,Масальский сельсовет,2019,1.0,3.0,14.0,18.0,21.0,67.0,36.0,88.0
1625456,Новенский сельсовет,2019,4.0,1.0,8.0,8.0,5.0,20.0,17.0,29.0
1625459,Новомихайловский сельсовет,2019,1.0,1.0,11.0,16.0,9.0,24.0,21.0,41.0
1625466,Покровский сельсовет,2019,3.0,1.0,5.0,5.0,18.0,27.0,26.0,33.0
1625473,Ремовский сельсовет,2019,5.0,2.0,8.0,9.0,16.0,28.0,29.0,39.0
1625476,Самарский сельсовет,2019,4.0,6.0,12.0,12.0,4.0,25.0,20.0,43.0
1626000,Мамонтовский муниципальный район,2019,49.0,6.0,196.0,246.0,557.0,577.0,802.0,829.0
1626449,Мамонтовский сельсовет,2019,18.0,5.0,84.0,132.0,299.0,239.0,401.0,376.0
1626478,Тимирязевский сельсовет,2019,2.0,1.0,9.0,2.0,30.0,19.0,41.0,22.0
1627000,Михайловский муниципальный район,2019,118.0,34.0,239.0,272.0,495.0,513.0,852.0,819.0
1627154,Малиновоозёрский поссовет,2019,16.0,11.0,60.0,43.0,55.0,75.0,131.0,129.0
1627416,Михайловский сельсовет,2019,58.0,6.0,129.0,142.0,303.0,263.0,490.0,411.0
1627422,Николаевский сельсовет,2019,9.0,9.0,17.0,15.0,22.0,28.0,48.0,52.0
1627433,Полуямский сельсовет,2019,1.0,2.0,2.0,5.0,20.0,27.0,23.0,34.0
1627444,Ракитовский сельсовет,2019,23.0,6.0,19.0,39.0,63.0,58.0,105.0,103.0
1628000,Новичихинский муниципальный район,2019,9.0,1.0,81.0,110.0,190.0,250.0,280.0,361.0
1629000,Зональный муниципальный район,2019,89.0,31.0,162.0,167.0,475.0,531.0,726.0,729.0
1629412,Буланихинский сельсовет,2019,10.0,3.0,17.0,27.0,41.0,68.0,68.0,98.0
1629426,Зональный сельсовет,2019,5.0,5.0,45.0,33.0,106.0,108.0,156.0,146.0
1629442,Луговской сельсовет,2019,4.0,1.0,11.0,7.0,34.0,26.0,49.0,34.0
1629466,Новочемровский сельсовет,2019,19.0,4.0,9.0,11.0,48.0,69.0,76.0,84.0
1629474,Плешковский сельсовет,2019,4.0,4.0,10.0,15.0,46.0,51.0,60.0,70.0
1629480,Соколовский сельсовет,2019,14.0,9.0,57.0,45.0,91.0,81.0,162.0,135.0
1629493,Чемровский сельсовет,2019,19.0,5.0,7.0,13.0,54.0,58.0,80.0,76.0
1630000,Павловский муниципальный район,2019,269.0,111.0,235.0,361.0,610.0,841.0,1114.0,1313.0
1630401,Арбузовский сельсовет,2019,1.0,3.0,5.0,7.0,16.0,44.0,22.0,54.0
1630403,Бурановский сельсовет,2019,3.0,3.0,8.0,6.0,23.0,15.0,34.0,24.0
1630412,Елунинский сельсовет,2019,5.0,1.0,8.0,5.0,15.0,15.0,28.0,21.0
1630432,Колыванский сельсовет,2019,3.0,3.0,8.0,8.0,26.0,28.0,37.0,39.0
1630437,Комсомольский сельсовет,2019,11.0,13.0,25.0,67.0,36.0,51.0,72.0,131.0
1630449,Лебяжинский сельсовет,2019,9.0,3.0,1.0,12.0,14.0,23.0,24.0,38.0
1630455,Новозоринский сельсовет,2019,39.0,7.0,21.0,37.0,46.0,70.0,106.0,114.0
1630460,Павловский сельсовет,2019,125.0,58.0,91.0,138.0,197.0,335.0,413.0,531.0
1630462,Павлозаводской сельсовет,2019,10.0,3.0,14.0,7.0,21.0,26.0,45.0,36.0
1630464,Прутской сельсовет,2019,2.0,3.0,9.0,15.0,31.0,51.0,42.0,69.0
1630466,Рогозихинский сельсовет,2019,7.0,3.0,4.0,11.0,31.0,20.0,42.0,34.0
1630473,Стуковский сельсовет,2019,5.0,3.0,4.0,18.0,22.0,31.0,31.0,52.0
1630482,Черемновский сельсовет,2019,30.0,5.0,23.0,21.0,84.0,87.0,137.0,113.0
1630485,Чернопятовский сельсовет,2019,9.0,1.0,3.0,2.0,12.0,13.0,24.0,16.0
1630490,Шаховский сельсовет,2019,10.0,2.0,11.0,7.0,36.0,32.0,57.0,41.0
1631000,Панкрушихинский муниципальный район,2019,30.0,10.0,148.0,184.0,244.0,328.0,422.0,522.0
1631456,Панкрушихинский сельсовет,2019,12.0,5.0,41.0,66.0,135.0,120.0,188.0,191.0
1631467,Подойниковский сельсовет,2019,10.0,1.0,37.0,29.0,26.0,56.0,73.0,86.0
1632000,Первомайский муниципальный район,2019,103.0,98.0,393.0,481.0,1973.0,1364.0,2469.0,1943.0
1632416,Берёзовский сельсовет,2019,24.0,36.0,74.0,62.0,335.0,187.0,433.0,285.0
1632420,Бобровский сельсовет,2019,15.0,7.0,41.0,27.0,226.0,133.0,282.0,167.0
1632422,Боровихинский сельсовет,2019,13.0,7.0,51.0,55.0,194.0,202.0,258.0,264.0
1632425,Жилинский сельсовет,2019,4.0,1.0,6.0,19.0,34.0,46.0,44.0,66.0
1632434,Зудиловский сельсовет,2019,12.0,14.0,49.0,49.0,263.0,107.0,324.0,170.0
1632449,Первомайский сельсовет,2019,3.0,3.0,32.0,31.0,70.0,124.0,105.0,158.0
1632454,Повалихинский сельсовет,2019,5.0,2.0,17.0,23.0,116.0,64.0,138.0,89.0
1632461,Рассказихинский сельсовет,2019,1.0,1.0,4.0,12.0,43.0,56.0,48.0,69.0
1632472,Санниковский сельсовет,2019,12.0,12.0,39.0,43.0,398.0,99.0,449.0,154.0
1632483,Северный сельсовет,2019,1.0,3.0,9.0,7.0,31.0,55.0,41.0,65.0
1632494,Сибирский сельсовет,2019,2.0,6.0,25.0,96.0,63.0,80.0,90.0,182.0
1632496,Солнечный сельсовет,2019,10.0,2.0,7.0,9.0,38.0,12.0,55.0,23.0
1633000,Петропавловский муниципальный район,2019,18.0,11.0,67.0,98.0,284.0,376.0,369.0,485.0
1633414,Зеленодольский сельсовет,2019,9.0,1.0,12.0,23.0,73.0,81.0,94.0,105.0
1633440,Новообинский сельсовет,2019,2.0,1.0,6.0,8.0,31.0,29.0,39.0,38.0
1633457,Петропавловский сельсовет,2019,4.0,3.0,22.0,17.0,81.0,94.0,107.0,114.0
1634000,Поспелихинский муниципальный район,2019,69.0,11.0,148.0,228.0,451.0,580.0,668.0,819.0
1634439,Клепечихинский сельсовет,2019,3.0,1.0,5.0,8.0,32.0,39.0,40.0,48.0
1634495,Поспелихинский Центральный сельсовет,2019,50.0,9.0,83.0,134.0,220.0,237.0,353.0,380.0
1635000,Ребрихинский муниципальный район,2019,41.0,8.0,155.0,243.0,564.0,642.0,760.0,893.0
1635407,Беловский сельсовет,2019,3.0,2.0,12.0,9.0,36.0,65.0,51.0,76.0
1635459,Подстепновский сельсовет,2019,1.0,1.0,6.0,5.0,26.0,20.0,33.0,26.0
1635464,Ребрихинский сельсовет,2019,10.0,3.0,64.0,125.0,252.0,220.0,326.0,348.0
1635476,Станционно-Ребрихинский сельсовет,2019,2.0,2.0,19.0,18.0,51.0,43.0,72.0,63.0
1637000,Романовский муниципальный район,2019,19.0,2.0,104.0,90.0,255.0,263.0,378.0,355.0
1637435,Закладинский сельсовет,2019,1.0,1.0,7.0,2.0,11.0,17.0,19.0,20.0
1637468,Романовский сельсовет,2019,13.0,1.0,40.0,49.0,95.0,109.0,148.0,159.0
1638000,Рубцовский муниципальный район,2019,264.0,151.0,234.0,297.0,391.0,810.0,889.0,1258.0
1638406,Безрукавский сельсовет,2019,31.0,33.0,49.0,39.0,43.0,107.0,123.0,179.0
1638415,Большешелковниковский сельсовет,2019,14.0,8.0,5.0,2.0,7.0,19.0,26.0,29.0
1638418,Веселоярский сельсовет,2019,55.0,28.0,43.0,80.0,72.0,97.0,170.0,205.0
1638420,Вишнёвский сельсовет,2019,9.0,2.0,9.0,1.0,2.0,20.0,20.0,23.0
1638422,Дальний сельсовет,2019,5.0,10.0,9.0,12.0,14.0,49.0,28.0,71.0
1638425,Куйбышевский сельсовет,2019,46.0,17.0,17.0,15.0,38.0,47.0,101.0,79.0
1638437,Новоалександровский сельсовет,2019,24.0,19.0,9.0,13.0,26.0,72.0,59.0,104.0
1638440,Новониколаевский сельсовет,2019,6.0,6.0,8.0,18.0,14.0,50.0,28.0,74.0
1638447,Новосклюихинский сельсовет,2019,31.0,6.0,16.0,11.0,8.0,35.0,55.0,52.0
1638451,Половинкинский сельсовет,2019,2.0,1.0,12.0,4.0,16.0,29.0,30.0,34.0
1638462,Рубцовский сельсовет,2019,9.0,11.0,19.0,31.0,42.0,86.0,70.0,128.0
1638465,Самарский сельсовет,2019,1.0,3.0,4.0,15.0,22.0,26.0,27.0,44.0
1638467,Саратовский сельсовет,2019,20.0,6.0,12.0,6.0,17.0,24.0,49.0,36.0
1641000,Суетский муниципальный район,2019,7.0,6.0,39.0,67.0,118.0,135.0,164.0,208.0
1641410,Боронский сельсовет,2019,1.0,1.0,3.0,5.0,8.0,10.0,12.0,16.0
1641413,Верх-Суетский сельсовет,2019,3.0,2.0,18.0,41.0,59.0,73.0,80.0,116.0
1641425,Нижнесуетский сельсовет,2019,3.0,3.0,9.0,16.0,30.0,22.0,42.0,41.0
1642000,Советский муниципальный район,2019,15.0,16.0,229.0,217.0,223.0,320.0,467.0,553.0
1642452,Советский сельсовет,2019,4.0,11.0,51.0,52.0,52.0,91.0,107.0,154.0
1642472,Шульгинский сельсовет,2019,5.0,1.0,23.0,15.0,11.0,35.0,39.0,51.0
1643000,Солонешенский муниципальный район,2019,2.0,9.0,90.0,108.0,177.0,269.0,269.0,386.0
1643450,Солонешенский сельсовет,2019,2.0,7.0,59.0,72.0,98.0,148.0,159.0,227.0
1645000,Шелаболихинский муниципальный район,2019,9.0,3.0,77.0,110.0,356.0,381.0,442.0,494.0
1645410,Верх-Кучукский сельсовет,2019,1.0,1.0,10.0,4.0,31.0,37.0,42.0,42.0
1645460,Шелаболихинский сельсовет,2019,3.0,2.0,21.0,43.0,121.0,126.0,145.0,171.0
1646000,Табунский муниципальный район,2019,33.0,1.0,106.0,164.0,268.0,304.0,407.0,469.0
1646422,Большеромановский сельсовет,2019,1.0,1.0,16.0,10.0,24.0,41.0,41.0,52.0
1647000,Тальменский муниципальный район,2019,98.0,103.0,430.0,464.0,984.0,1010.0,1512.0,1577.0
1647151,Тальменский поссовет,2019,48.0,51.0,207.0,240.0,382.0,354.0,637.0,645.0
1647406,Анисимовский сельсовет,2019,5.0,1.0,18.0,13.0,27.0,41.0,50.0,55.0
1647415,Зайцевский сельсовет,2019,1.0,1.0,6.0,10.0,9.0,22.0,16.0,33.0
1647430,Кашкарагаихинский сельсовет,2019,2.0,7.0,14.0,11.0,21.0,46.0,37.0,64.0
1647448,Луговской сельсовет,2019,12.0,1.0,37.0,23.0,48.0,79.0,97.0,103.0
1647456,Новоозёрский сельсовет,2019,5.0,12.0,34.0,27.0,136.0,95.0,175.0,134.0
1647459,Новоперуновский сельсовет,2019,3.0,1.0,6.0,14.0,42.0,48.0,51.0,63.0
1647466,Озёрский сельсовет,2019,10.0,11.0,26.0,31.0,100.0,99.0,136.0,141.0
1647473,Среднесибирский сельсовет,2019,3.0,10.0,20.0,18.0,51.0,38.0,74.0,66.0
1648000,Тогульский муниципальный район,2019,2.0,1.0,112.0,184.0,172.0,212.0,286.0,397.0
1648446,Тогульский сельсовет,2019,2.0,1.0,64.0,109.0,106.0,103.0,172.0,213.0
1649000,Топчихинский муниципальный район,2019,57.0,29.0,212.0,172.0,593.0,721.0,862.0,922.0
1649407,Володарский сельсовет,2019,1.0,1.0,1.0,2.0,13.0,15.0,15.0,18.0
1649420,Ключевский сельсовет,2019,3.0,1.0,2.0,12.0,13.0,35.0,18.0,48.0
1649436,Макарьевский сельсовет,2019,2.0,2.0,4.0,1.0,12.0,34.0,18.0,37.0
1649447,Парфёновский сельсовет,2019,3.0,3.0,10.0,15.0,51.0,56.0,64.0,74.0
1649450,Переясловский сельсовет,2019,2.0,2.0,13.0,3.0,20.0,32.0,35.0,37.0
1649452,Победимский сельсовет,2019,6.0,1.0,12.0,13.0,39.0,51.0,57.0,65.0
1649462,Топчихинский сельсовет,2019,15.0,12.0,114.0,77.0,283.0,247.0,412.0,336.0
1649491,Чистюньский сельсовет,2019,11.0,6.0,7.0,7.0,15.0,24.0,33.0,37.0
1650000,Третьяковский муниципальный район,2019,93.0,20.0,127.0,183.0,274.0,403.0,494.0,606.0
1650411,Екатерининский сельсовет,2019,9.0,2.0,13.0,9.0,15.0,40.0,37.0,51.0
1650455,Плосковский сельсовет,2019,3.0,1.0,9.0,11.0,3.0,15.0,15.0,27.0
1650460,Садовый сельсовет,2019,10.0,2.0,9.0,23.0,33.0,56.0,52.0,81.0
1650466,Староалейский сельсовет,2019,39.0,11.0,59.0,61.0,162.0,120.0,260.0,192.0
1650477,Третьяковский сельсовет,2019,22.0,2.0,20.0,47.0,18.0,66.0,60.0,115.0
1651000,Троицкий муниципальный район,2019,53.0,38.0,181.0,243.0,599.0,624.0,833.0,905.0
1651408,Беловский сельсовет,2019,2.0,3.0,10.0,25.0,41.0,77.0,53.0,105.0
1651414,Гордеевский сельсовет,2019,7.0,12.0,8.0,19.0,53.0,41.0,68.0,72.0
1651457,Троицкий сельсовет,2019,35.0,20.0,84.0,105.0,304.0,202.0,423.0,327.0
