oktmo,name,year,internat_inflow,internat_outflow,interreg_inflow,interreg_outflow,reg_inflow,reg_outflow,total_inflow,total_outflow
36642000,Сызранский муниципальный район,2019,134.0,70.0,141.0,194.0,138.0,343.0,413.0,607.0
36642154,Балашейка,2019,5.0,2.0,14.0,21.0,11.0,37.0,30.0,60.0
36642156,Междуреченск,2019,14.0,5.0,27.0,11.0,35.0,66.0,76.0,82.0
36642406,Варламово,2019,12.0,6.0,13.0,23.0,10.0,31.0,35.0,60.0
36642408,Волжское,2019,9.0,1.0,2.0,5.0,3.0,13.0,14.0,19.0
36642412,Жемковка,2019,2.0,1.0,3.0,8.0,2.0,5.0,7.0,14.0
36642416,Заборовка,2019,7.0,10.0,6.0,11.0,4.0,18.0,17.0,39.0
36642418,Ивашевка,2019,22.0,7.0,10.0,16.0,9.0,27.0,41.0,50.0
36642424,Новая Рачейка,2019,18.0,4.0,9.0,14.0,9.0,14.0,36.0,32.0
36642426,Новозаборовский,2019,3.0,3.0,9.0,7.0,13.0,8.0,25.0,18.0
36642428,Печерское,2019,1.0,3.0,3.0,11.0,4.0,15.0,8.0,29.0
36642431,Рамено,2019,3.0,7.0,11.0,20.0,8.0,22.0,22.0,49.0
36642436,Старая Рачейка,2019,12.0,10.0,17.0,20.0,12.0,30.0,41.0,60.0
36642440,Троицкое,2019,4.0,1.0,3.0,10.0,8.0,17.0,15.0,28.0
36642444,Усинское,2019,21.0,9.0,13.0,10.0,10.0,32.0,44.0,51.0
36644000,Хворостянский муниципальный район,2019,74.0,1.0,57.0,84.0,255.0,313.0,386.0,398.0
36644403,Владимировка,2019,4.0,1.0,3.0,11.0,12.0,10.0,19.0,22.0
36646000,Челно-Вершинский муниципальный район,2019,7.0,1.0,92.0,84.0,218.0,389.0,317.0,474.0
36646444,Эштебенькино,2019,2.0,1.0,17.0,12.0,16.0,39.0,35.0,52.0
36648000,Шенталинский муниципальный район,2019,31.0,12.0,170.0,164.0,239.0,325.0,440.0,501.0
36648448,Шентала,2019,15.0,9.0,60.0,49.0,112.0,81.0,187.0,139.0
36650000,Шигонский муниципальный район,2019,58.0,4.0,193.0,198.0,345.0,415.0,596.0,617.0
36650420,Пионерский,2019,13.0,2.0,7.0,20.0,21.0,10.0,41.0,32.0
36650440,Усолье,2019,7.0,1.0,24.0,18.0,63.0,57.0,94.0,76.0
36701000,Самара,2019,7663.0,2237.0,8338.0,8956.0,9133.0,10276.0,25134.0,21469.0
36701305,Железнодорожный,2019,691.0,29.0,523.0,389.0,518.0,698.0,1732.0,1116.0
36701310,Кировский,2019,2053.0,679.0,884.0,652.0,1591.0,2005.0,4528.0,3336.0
36701315,Красноглинский,2019,1341.0,306.0,1131.0,449.0,1674.0,1205.0,4146.0,1960.0
36701320,Куйбышевский,2019,527.0,21.0,701.0,434.0,856.0,642.0,2084.0,1097.0
36701325,Ленинский,2019,129.0,34.0,273.0,205.0,288.0,412.0,690.0,651.0
36701330,Октябрьский,2019,439.0,156.0,866.0,870.0,1183.0,1655.0,2488.0,2681.0
36701335,Промышленный,2019,1695.0,583.0,1126.0,1102.0,1860.0,2359.0,4681.0,4044.0
36701340,Самарский,2019,201.0,38.0,177.0,71.0,235.0,403.0,613.0,512.0
36701345,Советский,2019,583.0,391.0,455.0,289.0,753.0,893.0,1791.0,1573.0
36704000,Жигулевск,2019,170.0,168.0,400.0,594.0,350.0,630.0,920.0,1392.0
36708000,Кинель,2019,527.0,365.0,432.0,479.0,994.0,827.0,1953.0,1671.0
36713000,Новокуйбышевск,2019,363.0,66.0,427.0,440.0,561.0,662.0,1351.0,1168.0
36718000,Октябрьск,2019,188.0,65.0,267.0,219.0,207.0,316.0,662.0,600.0
36724000,Отрадный,2019,90.0,18.0,285.0,291.0,586.0,429.0,961.0,738.0
36727000,Похвистнево,2019,72.0,38.0,181.0,230.0,380.0,338.0,633.0,606.0
36735000,Сызрань,2019,513.0,338.0,1813.0,2271.0,707.0,819.0,3033.0,3428.0
36740000,Тольятти,2019,3157.0,2660.0,6705.0,7898.0,4094.0,4958.0,13956.0,15516.0
36750000,Чапаевск,2019,420.0,464.0,467.0,516.0,527.0,484.0,1414.0,1464.0
37602000,Альменевский муниципальный район,2019,16.0,2.0,249.0,377.0,183.0,144.0,448.0,523.0
37602404,Альменевский сельсовет,2019,11.0,2.0,97.0,131.0,99.0,30.0,207.0,163.0
37604000,Белозерский муниципальный район,2019,32.0,2.0,223.0,269.0,404.0,480.0,659.0,751.0
37604449,Памятинский сельсовет,2019,3.0,2.0,13.0,14.0,17.0,24.0,33.0,40.0
37606000,Варгашинский муниципальный район,2019,81.0,37.0,178.0,290.0,473.0,570.0,732.0,897.0
37606151,Варгашинский поссовет,2019,35.0,19.0,109.0,145.0,196.0,245.0,340.0,409.0
37606430,Мостовской сельсовет,2019,24.0,8.0,11.0,25.0,23.0,42.0,58.0,75.0
37606442,Пичугинский сельсовет,2019,8.0,4.0,3.0,17.0,26.0,27.0,37.0,48.0
37606465,Сычевский сельсовет,2019,2.0,3.0,3.0,9.0,26.0,23.0,31.0,35.0
37608000,Далматовский муниципальный район,2019,34.0,4.0,446.0,495.0,253.0,326.0,733.0,825.0
37608101,город Далматово,2019,17.0,2.0,200.0,216.0,114.0,113.0,331.0,331.0
37608408,Верхнеярский сельсовет,2019,4.0,1.0,7.0,9.0,5.0,3.0,16.0,13.0
37609000,Звериноголовский муниципальный район,2019,26.0,7.0,132.0,156.0,233.0,240.0,391.0,403.0
37609418,Звериноголовский сельсовет,2019,15.0,4.0,86.0,78.0,88.0,97.0,189.0,179.0
37609430,Круглянский сельсовет,2019,7.0,1.0,11.0,14.0,33.0,55.0,51.0,70.0
37609441,Озернинский сельсовет,2019,2.0,2.0,3.0,12.0,18.0,7.0,23.0,21.0
37610000,Каргапольский муниципальный район,2019,21.0,24.0,321.0,484.0,554.0,658.0,896.0,1166.0
37610151,рабочий поселок Каргаполье,2019,3.0,2.0,99.0,165.0,153.0,160.0,255.0,327.0
37610154,рабочий поселок Красный Октябрь,2019,5.0,4.0,40.0,72.0,106.0,93.0,151.0,169.0
37610404,Банниковский сельсовет,2019,1.0,2.0,4.0,8.0,7.0,7.0,12.0,17.0
37610429,Зауральский сельсовет,2019,1.0,3.0,3.0,5.0,11.0,12.0,15.0,20.0
37610468,Чашинский сельсовет,2019,4.0,6.0,67.0,93.0,79.0,143.0,150.0,242.0
37612000,Катайский муниципальный район,2019,66.0,23.0,541.0,551.0,370.0,396.0,977.0,970.0
37612101,город Катайск,2019,31.0,9.0,322.0,320.0,218.0,208.0,571.0,537.0
37612408,Боровской сельсовет,2019,22.0,4.0,24.0,28.0,16.0,21.0,62.0,53.0
37612416,Верхнепесковский сельсовет,2019,4.0,3.0,8.0,8.0,7.0,14.0,19.0,25.0
37612428,Ильинский сельсовет,2019,7.0,3.0,41.0,42.0,78.0,44.0,126.0,89.0
37612452,Ушаковский сельсовет,2019,1.0,1.0,15.0,13.0,5.0,15.0,21.0,29.0
37614000,Кетовский муниципальный район,2019,295.0,163.0,626.0,717.0,2444.0,1606.0,3365.0,2486.0
37614404,Барабинский сельсовет,2019,5.0,3.0,13.0,17.0,54.0,33.0,72.0,53.0
37614408,Большечаусовский сельсовет,2019,23.0,10.0,33.0,39.0,188.0,45.0,244.0,94.0
37614412,Введенский сельсовет,2019,35.0,11.0,76.0,103.0,359.0,182.0,470.0,296.0
37614420,Железнодорожный сельсовет,2019,16.0,15.0,22.0,17.0,81.0,47.0,119.0,79.0
37614432,Кетовский сельсовет,2019,64.0,35.0,126.0,134.0,383.0,235.0,573.0,404.0
37614436,Колесниковский сельсовет,2019,20.0,13.0,25.0,28.0,195.0,59.0,240.0,100.0
37614440,Колташевский сельсовет,2019,7.0,3.0,28.0,23.0,133.0,55.0,168.0,81.0
37614444,Лесниковский сельсовет,2019,42.0,26.0,65.0,92.0,312.0,329.0,419.0,447.0
37614446,Марковский сельсовет,2019,1.0,1.0,7.0,10.0,20.0,16.0,28.0,27.0
37614448,Менщиковский сельсовет,2019,4.0,5.0,17.0,12.0,111.0,57.0,132.0,74.0
37614452,Митинский сельсовет,2019,9.0,2.0,2.0,9.0,24.0,22.0,35.0,33.0
37614453,Новосидоровский сельсовет,2019,13.0,7.0,19.0,22.0,63.0,44.0,95.0,73.0
37614456,Падеринский сельсовет,2019,6.0,3.0,7.0,19.0,53.0,44.0,66.0,66.0
37614460,Пименовский сельсовет,2019,13.0,5.0,12.0,8.0,14.0,9.0,39.0,22.0
37614464,Просветский сельсовет,2019,4.0,15.0,21.0,24.0,55.0,45.0,80.0,84.0
37614468,Раковский сельсовет,2019,1.0,1.0,5.0,6.0,19.0,12.0,25.0,19.0
37614472,Садовский сельсовет,2019,8.0,1.0,42.0,30.0,122.0,66.0,172.0,97.0
37614473,Светлополянский сельсовет,2019,1.0,1.0,7.0,6.0,17.0,24.0,25.0,31.0
37614484,Шмаковский сельсовет,2019,5.0,5.0,17.0,14.0,31.0,81.0,53.0,100.0
37616000,Куртамышский муниципальный район,2019,54.0,1.0,534.0,525.0,803.0,814.0,1391.0,1340.0
37616464,Советский сельсовет,2019,3.0,1.0,23.0,15.0,71.0,102.0,97.0,118.0
37618000,Лебяжьевский муниципальный район,2019,14.0,2.0,153.0,161.0,255.0,371.0,422.0,534.0
37618151,Лебяжьевский поссовет,2019,9.0,1.0,71.0,89.0,139.0,115.0,219.0,205.0
37618432,Лопатинский сельсовет,2019,1.0,1.0,16.0,19.0,24.0,51.0,41.0,71.0
37620000,Макушинский муниципальный район,2019,64.0,12.0,215.0,248.0,346.0,512.0,625.0,772.0
37620101,город Макушино,2019,44.0,6.0,129.0,151.0,188.0,208.0,361.0,365.0
37620446,Садоводский сельсовет,2019,2.0,1.0,6.0,9.0,12.0,20.0,20.0,30.0
37620450,Саратовский сельсовет,2019,3.0,1.0,4.0,16.0,6.0,25.0,13.0,42.0
37620458,Степновский сельсовет,2019,6.0,3.0,7.0,9.0,10.0,22.0,23.0,34.0
37620462,Чебаковский сельсовет,2019,2.0,1.0,6.0,14.0,16.0,34.0,24.0,49.0
37622000,Мишкинский муниципальный район,2019,25.0,9.0,225.0,282.0,342.0,382.0,592.0,673.0
37622151,Мишкинский поссовет,2019,12.0,3.0,111.0,144.0,206.0,165.0,329.0,312.0
37622434,Краснознаменский сельсовет,2019,11.0,1.0,6.0,11.0,16.0,17.0,33.0,29.0
37624000,Мокроусовский муниципальный район,2019,3.0,1.0,186.0,177.0,195.0,261.0,384.0,439.0
37624428,Мокроусовский сельсовет,2019,3.0,1.0,83.0,93.0,121.0,89.0,207.0,183.0
37626000,Петуховский муниципальный район,2019,108.0,31.0,360.0,494.0,465.0,566.0,933.0,1091.0
37626101,город Петухово,2019,77.0,24.0,245.0,307.0,309.0,225.0,631.0,556.0
37626404,Актабанский сельсовет,2019,1.0,1.0,7.0,21.0,4.0,13.0,12.0,35.0
37626416,Жидковский сельсовет,2019,2.0,1.0,6.0,7.0,2.0,20.0,10.0,28.0
37626422,Курортный сельсовет,2019,4.0,2.0,14.0,26.0,21.0,33.0,39.0,61.0
37626424,Новоберезовский сельсовет,2019,1.0,1.0,8.0,7.0,9.0,25.0,18.0,33.0
37628000,Половинский муниципальный район,2019,49.0,3.0,183.0,174.0,315.0,367.0,547.0,544.0
37628428,Половинский сельсовет,2019,32.0,3.0,115.0,84.0,168.0,154.0,315.0,241.0
37630000,Притобольный муниципальный район,2019,64.0,5.0,155.0,167.0,326.0,382.0,545.0,554.0
37630434,Нагорский сельсовет,2019,2.0,1.0,18.0,23.0,47.0,56.0,67.0,80.0
37630450,Раскатихинский сельсовет,2019,1.0,1.0,8.0,19.0,34.0,34.0,43.0,54.0
37632000,Сафакулевский муниципальный район,2019,25.0,6.0,456.0,509.0,92.0,87.0,573.0,602.0
37632428,Сафакулевский сельсовет,2019,21.0,6.0,151.0,166.0,43.0,24.0,215.0,196.0
37634000,Целинный муниципальный район,2019,34.0,17.0,396.0,506.0,303.0,341.0,733.0,864.0
37634404,Васькинский сельсовет,2019,1.0,2.0,16.0,24.0,6.0,10.0,23.0,36.0
37634416,ND,2019,3.0,1.0,17.0,21.0,10.0,18.0,30.0,40.0
37634420,Кислянский сельсовет,2019,5.0,1.0,45.0,64.0,18.0,23.0,68.0,88.0
37634428,Луговской сельсовет,2019,1.0,2.0,15.0,29.0,23.0,32.0,39.0,63.0
37634436,Половинский сельсовет,2019,1.0,1.0,32.0,29.0,19.0,25.0,52.0,55.0
37634445,Становской сельсовет,2019,1.0,2.0,11.0,4.0,6.0,2.0,18.0,8.0
37634448,ND,2019,4.0,1.0,18.0,34.0,10.0,31.0,32.0,66.0
37634456,Целинный сельсовет,2019,15.0,6.0,138.0,169.0,131.0,106.0,284.0,281.0
37636000,Частоозерский муниципальный район,2019,16.0,10.0,66.0,93.0,155.0,199.0,237.0,302.0
37636412,Восточный сельсовет,2019,3.0,3.0,4.0,4.0,7.0,19.0,14.0,26.0
37636416,Долговский сельсовет.,2019,1.0,3.0,6.0,4.0,10.0,17.0,17.0,24.0
37636428,Частоозерский сельсовет,2019,12.0,3.0,43.0,65.0,113.0,96.0,168.0,164.0
37638000,Шадринский муниципальный район,2019,69.0,14.0,450.0,393.0,906.0,920.0,1425.0,1327.0
37638405,Батуринский сельсовет,2019,16.0,1.0,24.0,37.0,39.0,50.0,79.0,88.0
37638434,Ключевской сельсовет,2019,3.0,1.0,18.0,7.0,72.0,46.0,93.0,54.0
37638440,Краснонивинский сельсовет,2019,2.0,2.0,63.0,44.0,91.0,60.0,156.0,106.0
37638458,Нижнеполевской сельсовет,2019,1.0,2.0,11.0,9.0,30.0,32.0,42.0,43.0
37638461,Ольховский сельсовет,2019,6.0,1.0,20.0,19.0,47.0,57.0,73.0,77.0
37638489,Черемисский сельсовет,2019,1.0,1.0,3.0,4.0,18.0,18.0,22.0,23.0
37638492,Чистопрудненский сельсовет,2019,7.0,2.0,28.0,29.0,36.0,41.0,71.0,72.0
37640000,Шатровский муниципальный район,2019,15.0,4.0,381.0,415.0,228.0,264.0,624.0,683.0
37640404,Бариновский сельсовет,2019,4.0,3.0,27.0,32.0,10.0,25.0,41.0,60.0
37640464,Шатровский сельсовет,2019,7.0,1.0,138.0,139.0,81.0,47.0,226.0,187.0
37644000,Щучанский муниципальный район,2019,29.0,1.0,595.0,773.0,331.0,371.0,955.0,1145.0
37644422,Медведский сельсовет,2019,1.0,1.0,17.0,13.0,9.0,12.0,27.0,26.0
37646000,Юргамышский муниципальный район,2019,60.0,10.0,217.0,302.0,491.0,581.0,768.0,893.0
37646151,Юргамышский поссовет,2019,26.0,6.0,126.0,177.0,240.0,254.0,392.0,437.0
37646404,Вилкинский сельсовет,2019,1.0,2.0,3.0,10.0,8.0,20.0,12.0,32.0
37646424,Кислянский сельсовет,2019,6.0,1.0,9.0,20.0,36.0,33.0,51.0,54.0
37646444,Чинеевский сельсовет,2019,6.0,1.0,6.0,5.0,20.0,32.0,32.0,38.0
37701000,город Курган,2019,948.0,752.0,2992.0,4978.0,3241.0,3167.0,7181.0,8897.0
37705000,город Шадринск,2019,305.0,226.0,1045.0,1287.0,1284.0,1004.0,2634.0,2517.0
38602000,Беловский муниципальный район,2019,170.0,167.0,248.0,277.0,239.0,303.0,657.0,747.0
38602404,Беличанский сельсовет,2019,12.0,12.0,19.0,39.0,15.0,23.0,46.0,74.0
38602408,Беловский сельсовет,2019,24.0,40.0,40.0,45.0,67.0,61.0,131.0,146.0
38602412,Бобравский сельсовет,2019,10.0,15.0,16.0,11.0,12.0,16.0,38.0,42.0
38602416,Вишневский сельсовет,2019,9.0,6.0,9.0,10.0,10.0,12.0,28.0,28.0
38602420,Гирьянский сельсовет,2019,20.0,16.0,36.0,40.0,25.0,30.0,81.0,86.0
38602424,Долгобудский сельсовет,2019,16.0,8.0,21.0,14.0,23.0,24.0,60.0,46.0
38602428,Ильковский сельсовет,2019,24.0,20.0,24.0,26.0,14.0,19.0,62.0,65.0
38602430,Коммунаровский сельсовет,2019,8.0,4.0,14.0,20.0,20.0,28.0,42.0,52.0
38602432,Кондратовский сельсовет,2019,11.0,4.0,24.0,19.0,8.0,13.0,43.0,36.0
38602436,Корочанский сельсовет,2019,10.0,5.0,7.0,11.0,5.0,18.0,22.0,34.0
38602438,Малосолдатский сельсовет,2019,6.0,13.0,7.0,9.0,9.0,17.0,22.0,39.0
38602452,Пенский сельсовет,2019,7.0,7.0,11.0,11.0,2.0,9.0,20.0,27.0
38602454,Песчанский сельсовет,2019,10.0,8.0,15.0,15.0,17.0,17.0,42.0,40.0
38602460,Щеголянский сельсовет,2019,3.0,9.0,5.0,7.0,12.0,16.0,20.0,32.0
38603000,Большесолдатский муниципальный район,2019,96.0,25.0,94.0,107.0,205.0,307.0,395.0,439.0
38603403,Большесолдатский сельсовет,2019,48.0,12.0,44.0,33.0,58.0,98.0,150.0,143.0
38603412,Волоконский сельсовет,2019,5.0,5.0,13.0,7.0,36.0,44.0,54.0,56.0
38603425,Любимовский сельсовет,2019,9.0,1.0,17.0,26.0,38.0,69.0,64.0,96.0
38603427,Любостанский сельсовет,2019,13.0,1.0,4.0,11.0,21.0,27.0,38.0,39.0
38603430,Нижнегридинский сельсовет,2019,3.0,2.0,7.0,5.0,11.0,26.0,21.0,33.0
38603451,Саморядовский сельсовет,2019,7.0,1.0,7.0,16.0,26.0,22.0,40.0,39.0
38603457,Сторожевский сельсовет,2019,11.0,3.0,2.0,9.0,15.0,21.0,28.0,33.0
38604000,Глушковский муниципальный район,2019,279.0,113.0,309.0,327.0,331.0,493.0,919.0,933.0
38604151,поселок Глушково,2019,31.0,20.0,71.0,79.0,81.0,141.0,183.0,240.0
38604155,поселок Теткино,2019,32.0,22.0,54.0,81.0,45.0,85.0,131.0,188.0
38604404,Алексеевский сельсовет,2019,10.0,6.0,14.0,9.0,10.0,8.0,34.0,23.0
38604412,Веселовский сельсовет,2019,21.0,7.0,24.0,21.0,8.0,19.0,53.0,47.0
38604420,Званновский сельсовет,2019,25.0,17.0,28.0,30.0,36.0,46.0,89.0,93.0
38604424,Карыжский сельсовет,2019,8.0,6.0,9.0,15.0,18.0,17.0,35.0,38.0
38604428,Кобыльский сельсовет,2019,11.0,5.0,12.0,12.0,10.0,14.0,33.0,31.0
38604432,Коровяковский сельсовет,2019,20.0,8.0,6.0,12.0,11.0,16.0,37.0,36.0
38604436,Кульбакинский сельсовет,2019,67.0,11.0,28.0,20.0,25.0,54.0,120.0,85.0
38604440,Марковский сельсовет,2019,12.0,3.0,29.0,20.0,21.0,26.0,62.0,49.0
38604444,Нижнемордокский сельсовет,2019,9.0,2.0,9.0,2.0,18.0,18.0,36.0,22.0
38604448,Попово-Лежачанский сельсовет,2019,12.0,5.0,17.0,19.0,25.0,35.0,54.0,59.0
38604456,Сухиновский сельсовет,2019,21.0,1.0,8.0,7.0,23.0,14.0,52.0,22.0
38606000,Горшеченский муниципальный район,2019,200.0,22.0,372.0,395.0,66.0,83.0,638.0,500.0
38606151,поселок Горшечное,2019,46.0,5.0,117.0,139.0,31.0,42.0,194.0,186.0
38606412,Знаменский сельсовет,2019,2.0,3.0,13.0,16.0,1.0,3.0,16.0,22.0
38606424,Куньевский сельсовет,2019,13.0,2.0,15.0,27.0,4.0,2.0,32.0,31.0
38606428,Нижнеборковский сельсовет,2019,18.0,4.0,18.0,12.0,1.0,6.0,37.0,22.0
38606472,Ясеновский сельсовет,2019,20.0,2.0,19.0,23.0,2.0,1.0,41.0,26.0
38608000,Дмитриевский муниципальный район,2019,113.0,9.0,223.0,256.0,326.0,395.0,662.0,660.0
38608101,город Дмитриев,2019,43.0,7.0,105.0,119.0,149.0,164.0,297.0,290.0
38608416,Дерюгинский сельсовет,2019,3.0,2.0,10.0,12.0,22.0,45.0,35.0,59.0
38610000,Железногорский муниципальный район,2019,80.0,86.0,185.0,208.0,327.0,505.0,592.0,799.0
38610160,поселок Магнитный,2019,2.0,1.0,20.0,27.0,28.0,50.0,50.0,78.0
38610410,Веретенинский сельсовет,2019,3.0,7.0,14.0,23.0,25.0,40.0,42.0,70.0
38610412,Волковский сельсовет,2019,1.0,2.0,3.0,5.0,5.0,29.0,9.0,36.0
38610414,Городновский сельсовет,2019,11.0,5.0,5.0,4.0,9.0,25.0,25.0,34.0
38610416,Линецкий сельсовет,2019,3.0,1.0,11.0,15.0,17.0,29.0,31.0,45.0
38610420,Михайловский сельсовет,2019,3.0,11.0,27.0,33.0,36.0,73.0,66.0,117.0
38610424,Новоандросовский сельсовет,2019,4.0,11.0,8.0,8.0,21.0,36.0,33.0,55.0
38610428,Кармановский сельсовет,2019,7.0,5.0,17.0,19.0,16.0,36.0,40.0,60.0
38610432,Разветьевский сельсовет,2019,17.0,21.0,39.0,35.0,99.0,49.0,155.0,105.0
38610440,Рышковский сельсовет,2019,7.0,7.0,9.0,8.0,28.0,31.0,44.0,46.0
38610446,Студенокский сельсовет,2019,14.0,11.0,19.0,19.0,27.0,67.0,60.0,97.0
38610448,Троицкий сельсовет,2019,3.0,4.0,9.0,8.0,6.0,25.0,18.0,37.0
38612000,Золотухинский муниципальный район,2019,64.0,74.0,195.0,215.0,331.0,569.0,590.0,858.0
38612151,поселок Золотухино,2019,16.0,15.0,48.0,57.0,69.0,134.0,133.0,206.0
38612404,Ануфриевский сельсовет,2019,6.0,8.0,12.0,14.0,26.0,50.0,44.0,72.0
38612412,Будановский сельсовет,2019,6.0,3.0,22.0,25.0,38.0,77.0,66.0,105.0
38612428,Дмитриевский сельсовет,2019,10.0,4.0,11.0,12.0,15.0,50.0,36.0,66.0
38612432,Донской сельсовет,2019,4.0,11.0,20.0,22.0,71.0,59.0,95.0,92.0
38612456,Свободинский сельсовет,2019,8.0,18.0,32.0,32.0,45.0,75.0,85.0,125.0
38612466,Солнечный сельсовет,2019,3.0,3.0,28.0,32.0,27.0,69.0,58.0,104.0
38612468,Тазовский сельсовет,2019,10.0,9.0,4.0,16.0,18.0,29.0,32.0,54.0
38614000,Касторенский муниципальный район,2019,92.0,45.0,356.0,349.0,195.0,241.0,643.0,635.0
38614151,поселок Касторное,2019,22.0,12.0,45.0,77.0,44.0,53.0,111.0,142.0
38614153,поселок Новокасторное,2019,8.0,4.0,52.0,54.0,23.0,24.0,83.0,82.0
38614154,поселок Олымский,2019,14.0,6.0,83.0,69.0,40.0,36.0,137.0,111.0
38614408,Алексеевский сельсовет,2019,1.0,2.0,20.0,21.0,5.0,11.0,26.0,34.0
38614410,Андреевский сельсовет,2019,15.0,3.0,15.0,19.0,10.0,13.0,40.0,35.0
38614416,Верхнеграйворонский сельсовет,2019,4.0,1.0,3.0,2.0,7.0,6.0,14.0,9.0
38614428,Егорьевский сельсовет,2019,1.0,1.0,11.0,8.0,2.0,3.0,14.0,12.0
38614440,Краснодолинский сельсовет,2019,7.0,1.0,40.0,25.0,12.0,19.0,59.0,45.0
38614448,Лачиновский сельсовет,2019,1.0,2.0,5.0,7.0,8.0,15.0,14.0,24.0
38614472,Семеновский сельсовет,2019,1.0,3.0,5.0,10.0,2.0,11.0,8.0,24.0
38614476,Успенский сельсовет,2019,5.0,10.0,8.0,4.0,11.0,6.0,24.0,20.0
38616000,Конышевский муниципальный район,2019,121.0,80.0,121.0,129.0,167.0,238.0,409.0,447.0
38616151,поселок Конышевка,2019,24.0,24.0,42.0,34.0,81.0,68.0,147.0,126.0
38616404,Беляевский сельсовет,2019,6.0,5.0,6.0,5.0,14.0,19.0,26.0,29.0
38616408,Ваблинский сельсовет,2019,3.0,4.0,5.0,9.0,10.0,22.0,18.0,35.0
38616420,Захарковский сельсовет,2019,8.0,8.0,4.0,1.0,8.0,16.0,20.0,25.0
38616426,Малогородьковский сельсовет,2019,7.0,5.0,3.0,8.0,7.0,19.0,17.0,32.0
38616428,Машкинский сельсовет,2019,13.0,4.0,12.0,6.0,3.0,7.0,28.0,17.0
38616432,Наумовский сельсовет,2019,20.0,4.0,6.0,4.0,7.0,19.0,33.0,27.0
38616436,Платавский сельсовет,2019,15.0,8.0,20.0,24.0,8.0,17.0,43.0,49.0
38616440,Прилепский сельсовет,2019,23.0,11.0,15.0,24.0,16.0,33.0,54.0,68.0
38616444,Старобелицкий сельсовет,2019,2.0,7.0,8.0,14.0,13.0,18.0,23.0,39.0
38618000,Кореневский муниципальный район,2019,161.0,66.0,153.0,192.0,262.0,343.0,576.0,601.0
38618151,поселок Коренево,2019,31.0,23.0,49.0,99.0,89.0,103.0,169.0,225.0
38618412,Викторовский сельсовет,2019,21.0,5.0,8.0,9.0,9.0,28.0,38.0,42.0
38618416,Комаровский сельсовет,2019,10.0,2.0,4.0,5.0,13.0,13.0,27.0,20.0
38618420,Кореневский сельсовет,2019,19.0,4.0,19.0,13.0,31.0,25.0,69.0,42.0
38618432,Ольговский сельсовет,2019,26.0,9.0,19.0,6.0,22.0,32.0,67.0,47.0
38618436,Пушкарский сельсовет,2019,20.0,10.0,19.0,17.0,14.0,33.0,53.0,60.0
38618444,Снагостский сельсовет,2019,7.0,3.0,9.0,8.0,6.0,11.0,22.0,22.0
38618448,Толпинский сельсовет,2019,11.0,7.0,13.0,17.0,25.0,28.0,49.0,52.0
38618452,Шептуховский сельсовет,2019,11.0,3.0,11.0,13.0,25.0,50.0,47.0,66.0
38620000,Курский муниципальный район,2019,449.0,116.0,621.0,466.0,1962.0,1554.0,3032.0,2136.0
38620408,Бесединский сельсовет,2019,52.0,13.0,43.0,24.0,90.0,104.0,185.0,141.0
38620412,Брежневский сельсовет,2019,15.0,9.0,15.0,9.0,36.0,63.0,66.0,81.0
38620420,Винниковский сельсовет,2019,7.0,2.0,10.0,8.0,24.0,22.0,41.0,32.0
38620424,Ворошневский сельсовет,2019,6.0,4.0,20.0,12.0,107.0,127.0,133.0,143.0
38620426,Камышинский сельсовет,2019,20.0,13.0,30.0,26.0,50.0,62.0,100.0,101.0
38620428,Клюквинский сельсовет,2019,51.0,8.0,227.0,182.0,357.0,305.0,635.0,495.0
38620432,Лебяженский сельсовет,2019,23.0,5.0,16.0,22.0,96.0,80.0,135.0,107.0
38620436,Моковский сельсовет,2019,45.0,13.0,48.0,27.0,200.0,98.0,293.0,138.0
38620448,Нижнемедведицкий сельсовет,2019,25.0,5.0,15.0,14.0,130.0,79.0,170.0,98.0
38620452,Новопоселеновский сельсовет,2019,31.0,5.0,20.0,33.0,199.0,105.0,250.0,143.0
38620468,Полевской сельсовет,2019,44.0,7.0,43.0,32.0,99.0,103.0,186.0,142.0
38620472,Полянский сельсовет,2019,25.0,20.0,40.0,15.0,54.0,55.0,119.0,90.0
38620476,Рышковский сельсовет,2019,10.0,5.0,24.0,8.0,108.0,75.0,142.0,88.0
38620488,Шумаковский сельсовет,2019,10.0,6.0,10.0,14.0,57.0,41.0,77.0,61.0
38620492,Щетинский сельсовет,2019,47.0,1.0,42.0,22.0,274.0,155.0,363.0,178.0
38621000,Курчатовский муниципальный район,2019,89.0,90.0,156.0,176.0,410.0,514.0,655.0,780.0
38621152,поселок Иванино,2019,4.0,8.0,14.0,25.0,61.0,72.0,79.0,105.0
38621153,поселок им К. Либкнехта,2019,41.0,36.0,76.0,85.0,123.0,128.0,240.0,249.0
38621410,Дружненский сельсовет,2019,2.0,4.0,3.0,6.0,20.0,18.0,25.0,28.0
38621418,Колпаковский сельсовет,2019,11.0,11.0,13.0,7.0,19.0,30.0,43.0,48.0
38621425,Костельцевский сельсовет,2019,10.0,4.0,17.0,12.0,32.0,54.0,59.0,70.0
38621442,Дичнянский сельсовет,2019,7.0,11.0,19.0,8.0,60.0,83.0,86.0,102.0
38621449,Чаплинский сельсовет,2019,3.0,16.0,8.0,17.0,56.0,82.0,67.0,115.0
