,name,Int_in,Ext_in,Int_out,Ext_out,center,lat,lon,oktmo,year
21,Ленинградская область,108021,90543,70049.0,52571.0,Гатчина,59.5709,30.1333,41618000,2021
22,Мурманская область,28239,20678,31104.0,23543.0,Мурманск,68.9792,33.0925,47701000,2021
23,Новгородская область,23747,12466,21486.0,10205.0,Великий Новгород,58.5213,31.2756,49701000,2021
24,Псковская область,25843,14627,24405.0,13189.0,Псков,57.8136,28.3496,58701000,2021
25,Санкт-Петербург,198284,139783,174387.0,115886.0,Санкт-Петербург,59.9386,30.3141,40000000,2021
26,Республика Адыгея,22910,19057,15013.0,11160.0,Майкоп,44.6062,40.1041,79701000,2021
27,Республика Крым,53891,34420,41548.0,22077.0,Симферополь,44.9572,34.1108,35701000,2021
28,Краснодарский край,176448,127425,135805.0,86782.0,Краснодар,45.0355,38.9753,3701000,2021
29,Астраханская область,19205,10186,21963.0,12944.0,Астрахань,46.3497,48.0408,12701000,2021
30,Волгоградская область,57650,31262,55340.0,28952.0,Волгоград,48.7194,44.5018,18701000,2021
31,Севастополь,32710,26728,17320.0,11338.0,Севастополь,44.6166,33.5254,67000000,2021
32,Республика Татарстан,96759,39993,85311.0,28545.0,Казань,55.7887,49.1221,92701000,2021
33,Пермский край,69223,18695,72558.0,22030.0,Пермь,58.0105,56.2502,57701000,2021
34,Кировская область,42213,13431,43572.0,14790.0,Киров,58.6035,49.6668,33701000,2021
35,Нижегородская область,67348,29082,62906.0,24640.0,Нижний Новгород,56.2965,43.9361,22701000,2021
36,Пензенская область,24145,12449,24779.0,13083.0,Пенза,53.1959,45.0246,56701000,2021
37,Самарская область,71398,36266,63665.0,28533.0,Самара,53.1852,50.1191,36701000,2021
38,Саратовская область,50439,25449,54612.0,29622.0,Саратов,51.5406,46.0086,63701000,2021
39,Ульяновская область,24279,13349,24904.0,13974.0,Ульяновск,54.3181,48.3837,73701000,2021
40,Тюменская область,157311,98150,134556.0,75395.0,Тюмень,57.1522,65.5272,71701000,2021
41,Ханты-Мансийский автономный округ,74378,53579,65046.0,41466.0,Ханты-Мансийск,61.0042,69.0019,71871000,2021
42,Ямало-Ненецкий автономный округ,29248,22421,27594.0,19112.0,Салехард,66.5494,66.6014,71951000,2021
43,Кемеровская область,59504,27262,62691.0,30449.0,Кемерово,55.3549,86.087,32701000,2021
44,Омская область,42402,18139,50043.0,25780.0,Омск,54.9885,73.3242,52701000,2021
0,Брянская область,29411,13876,31715.0,16180.0,Брянск,53.2521,34.3717,15701000,2022
1,Владимирская область,30996,19399,34050.0,22453.0,Владимир,56.1291,40.4069,17701000,2022
2,Воронежская область,63704,38209,63079.0,37584.0,Воронеж,51.672,39.1843,20701000,2022
3,Ивановская область,26404,14964,26790.0,15350.0,Иваново,57.0,40.9739,24701000,2022
4,Калужская область,55782,42350,51354.0,37922.0,Калуга,54.5293,36.2754,29701000,2022
5,Костромская область,17134,8986,17933.0,9785.0,Кострома,57.7679,40.9269,34701000,2022
6,Курская область,31485,17305,33192.0,19012.0,Курск,51.7373,36.1874,38701000,2022
7,Московская область,341723,284098,265009.0,207384.0,Красногорск,55.8316,37.3277,46744000,2022
8,Орловская область,12969,7706,15523.0,10260.0,Орёл,52.9686,36.0694,54701000,2022
9,Смоленская область,30620,17634,35163.0,22177.0,Смоленск,54.7818,32.0401,66701000,2022
10,Тамбовская область,24622,16332,27829.0,19539.0,Тамбов,52.7317,41.4433,68701000,2022
11,Тверская область,36264,21673,38170.0,23579.0,Тверь,56.8587,35.9176,28701000,2022
12,Тульская область,43357,28916,43388.0,28947.0,Тула,54.193,37.6153,70701000,2022
13,Ярославская область,30512,16061,31363.0,16912.0,Ярославль,57.6263,39.8933,78701000,2022
14,Москва,318882,300029,226304.0,207451.0,Москва,55.7522,37.6156,45000000,2022
15,Республика Карелия,17645,8437,16848.0,7640.0,Петрозаводск,61.7849,34.3469,86701000,2022
16,Республика Коми,26278,13143,30171.0,17036.0,Сыктывкар,61.6688,50.836,87701000,2022
17,Архангельская область,35516,14892,38361.0,17737.0,Архангельск,64.5401,40.5433,11701000,2022
18,Ненецкий автономный округ,2184,1182,2265.0,1283.0,Нарьян-Мар,67.6381,53.0069,11851000,2022
19,Вологодская область,19910,9258,22402.0,11750.0,Вологда,59.2239,39.8839,19701000,2022
20,Калининградская область,46391,27202,40150.0,20961.0,Калининград,54.7065,20.5109,27701000,2022
21,Ленинградская область,105108,87717,73435.0,56044.0,Гатчина,59.5709,30.1333,41618000,2022
22,Мурманская область,28019,20873,31439.0,24293.0,Мурманск,68.9792,33.0925,47701000,2022
23,Новгородская область,22073,12385,22052.0,12364.0,Великий Новгород,58.5213,31.2756,49701000,2022
24,Псковская область,21969,12511,24556.0,15098.0,Псков,57.8136,28.3496,58701000,2022
25,Санкт-Петербург,182701,133354,176130.0,126783.0,Санкт-Петербург,59.9386,30.3141,40000000,2022
26,Республика Адыгея,21553,17615,20052.0,16114.0,Майкоп,44.6062,40.1041,79701000,2022
27,Республика Крым,48789,30629,51143.0,32983.0,Симферополь,44.9572,34.1108,35701000,2022
28,Краснодарский край,155767,113629,143875.0,101737.0,Краснодар,45.0355,38.9753,3701000,2022
29,Астраханская область,17988,10176,22758.0,14946.0,Астрахань,46.3497,48.0408,12701000,2022
30,Волгоградская область,56418,32601,62609.0,38792.0,Волгоград,48.7194,44.5018,18701000,2022
31,Севастополь,33876,28105,20788.0,15017.0,Севастополь,44.6166,33.5254,67000000,2022
32,Республика Татарстан,88773,40248,79090.0,30565.0,Казань,55.7887,49.1221,92701000,2022
33,Пермский край,63756,18664,68780.0,23688.0,Пермь,58.0105,56.2502,57701000,2022
34,Кировская область,42400,13829,43450.0,14879.0,Киров,58.6035,49.6668,33701000,2022
35,Нижегородская область,63139,28591,66316.0,31768.0,Нижний Новгород,56.2965,43.9361,22701000,2022
36,Пензенская область,23847,13122,27177.0,16452.0,Пенза,53.1959,45.0246,56701000,2022
37,Самарская область,66090,35595,67919.0,37424.0,Самара,53.1852,50.1191,36701000,2022
38,Саратовская область,51169,26856,59067.0,34754.0,Саратов,51.5406,46.0086,63701000,2022
39,Ульяновская область,22232,13171,23978.0,14917.0,Ульяновск,54.3181,48.3837,73701000,2022
40,Тюменская область,154220,100345,143081.0,89206.0,Тюмень,57.1522,65.5272,71701000,2022
41,Ханты-Мансийский автономный округ,77438,58422,68752.0,47646.0,Ханты-Мансийск,61.0042,69.0019,71871000,2022
42,Ямало-Ненецкий автономный округ,25361,19824,28115.0,20768.0,Салехард,66.5494,66.6014,71951000,2022
43,Кемеровская область,59478,28924,64654.0,34100.0,Кемерово,55.3549,86.087,32701000,2022
44,Омская область,39219,17236,48893.0,26910.0,Омск,54.9885,73.3242,52701000,2022
0,Брянская область,26660,11941,28248.0,13529.0,Брянск,53.2521,34.3717,15701000,2023
1,Владимирская область,27489,17352,31077.0,20940.0,Владимир,56.1291,40.4069,17701000,2023
2,Воронежская область,53580,32090,49188.0,27698.0,Воронеж,51.672,39.1843,20701000,2023
3,Ивановская область,24096,13211,24868.0,13983.0,Иваново,57.0,40.9739,24701000,2023
4,Калужская область,47660,35430,44212.0,31982.0,Калуга,54.5293,36.2754,29701000,2023
5,Костромская область,15242,7752,16505.0,9015.0,Кострома,57.7679,40.9269,34701000,2023
6,Курская область,30331,17696,28640.0,16005.0,Курск,51.7373,36.1874,38701000,2023
7,Московская область,340889,283158,259584.0,201853.0,Красногорск,55.8316,37.3277,46744000,2023
8,Орловская область,12088,6968,13558.0,8438.0,Орёл,52.9686,36.0694,54701000,2023
9,Смоленская область,28315,16116,29267.0,17068.0,Смоленск,54.7818,32.0401,66701000,2023
10,Тамбовская область,22347,15068,23728.0,16449.0,Тамбов,52.7317,41.4433,68701000,2023
11,Тверская область,32818,19474,33051.0,19707.0,Тверь,56.8587,35.9176,28701000,2023
12,Тульская область,40638,28265,38034.0,25661.0,Тула,54.193,37.6153,70701000,2023
13,Ярославская область,29934,15966,28235.0,14267.0,Ярославль,57.6263,39.8933,78701000,2023
14,Москва,319601,257879,278595.0,216873.0,Москва,55.7522,37.6156,45000000,2023
15,Республика Карелия,15683,7317,15268.0,6902.0,Петрозаводск,61.7849,34.3469,86701000,2023
16,Республика Коми,25490,13113,27909.0,15532.0,Сыктывкар,61.6688,50.836,87701000,2023
17,Архангельская область,36760,15006,38024.0,16270.0,Архангельск,64.5401,40.5433,11701000,2023
18,Ненецкий автономный округ,2844,1883,2073.0,1146.0,Нарьян-Мар,67.6381,53.0069,11851000,2023
19,Вологодская область,19277,9445,20075.0,10243.0,Вологда,59.2239,39.8839,19701000,2023
