,from_territory_id,to_territory_id,n_people
347,9,63,1
348,9,64,1
349,9,69,1
350,9,70,1
351,9,71,1
352,9,73,6
353,9,76,1
354,9,77,1
355,9,78,1
356,9,79,1
357,9,80,1
358,9,82,2
359,9,84,1
360,9,91,1
361,9,96,1
362,9,103,1
363,9,109,1
364,9,111,2
365,9,113,1
366,9,115,1
367,9,117,1
368,9,119,1
369,9,126,1
370,9,128,1
371,9,130,1
372,9,135,2
373,9,136,3
374,9,149,1
375,9,158,2
376,9,161,1
377,9,169,1
378,9,173,1
379,9,180,2
380,9,185,1
381,9,186,5
382,9,200,1
383,11,3,1
384,11,4,1
385,11,5,3
386,11,6,2
387,11,7,2
388,11,9,1
389,11,12,1
390,11,14,1
391,11,15,1
392,11,16,1
393,11,17,1
394,11,19,1
395,11,26,1
396,11,29,4
397,11,35,12
398,11,36,6
399,11,37,1
400,11,39,22
401,11,40,1
402,11,41,1
403,11,42,4
404,11,44,5
405,11,45,1
406,11,46,1
407,11,47,2
408,11,48,1
409,11,49,1
410,11,50,2
411,11,51,2
412,11,52,1
413,11,53,1
414,11,55,1
415,11,58,1
416,11,59,1
417,11,60,3
418,11,61,1
419,11,63,1
420,11,64,1
421,11,66,1
422,11,69,2
423,11,70,2
424,11,71,1
425,11,73,8
426,11,74,1
427,11,75,1
428,11,76,1
429,11,77,1
430,11,78,1
431,11,79,1
432,11,80,1
433,11,81,1
434,11,82,2
435,11,83,1
436,11,84,1
437,11,91,1
438,11,96,1
439,11,103,1
440,11,109,1
441,11,111,3
442,11,113,1
443,11,114,1
444,11,115,1
445,11,117,2
446,11,119,1
447,11,123,1
448,11,125,1
449,11,126,1
450,11,128,1
451,11,130,1
452,11,132,1
453,11,135,3
454,11,136,4
455,11,149,1
456,11,158,2
457,11,161,1
458,11,169,2
459,11,170,1
460,11,173,1
461,11,180,3
462,11,185,1
463,11,186,6
464,11,192,1
465,11,197,1
466,11,200,2
467,12,3,1
468,12,4,1
469,12,5,2
470,12,6,1
471,12,7,1
472,12,9,1
473,12,11,1
474,12,14,1
475,12,15,1
476,12,16,1
477,12,17,1
478,12,19,1
479,12,29,3
480,12,35,9
481,12,36,4
482,12,37,1
483,12,39,16
484,12,40,1
485,12,41,1
486,12,42,3
487,12,44,3
488,12,45,1
489,12,47,1
490,12,48,1
491,12,49,1
492,12,50,2
493,12,51,2
494,12,52,1
495,12,53,1
496,12,55,1
497,12,58,1
498,12,59,1
499,12,60,2
500,12,61,1
501,12,63,1
502,12,64,1
503,12,69,1
504,12,70,1
505,12,71,1
506,12,73,6
507,12,76,1
508,12,77,1
509,12,78,1
510,12,79,1
511,12,80,1
512,12,82,2
513,12,84,1
514,12,91,1
515,12,96,1
516,12,103,1
517,12,109,1
518,12,111,2
519,12,113,1
520,12,115,1
521,12,117,1
522,12,119,1
523,12,126,1
524,12,128,1
525,12,130,1
526,12,135,2
527,12,136,3
