,Int_in,Ext_in,Int_out,Ext_out,territory_id,name,oktmo,year
58,23816,10840,25977.0,13001.0,143080,Курганская область,37000000,2023
59,89490,43885,88337.0,42732.0,143102,Свердловская область,65000000,2023
60,155404,103085,128878.0,76559.0,4882,Тюменская область,71000000000,2023
61,83583,63165,62543.0,41455.0,13517,Ханты-Мансийский автономный округ,140296,2023
62,24294,19191,24550.0,18002.0,18198,Ямало-Ненецкий автономный округ,71900000,2023
63,83569,39213,81573.0,37217.0,143108,Челябинская область,75000000,2023
64,10570,4163,11009.0,4602.0,143088,Республика Алтай,84000000,2023
65,9954,3959,12446.0,6451.0,143098,Республика Тыва,93000000,2023
66,19935,10479,20067.0,10611.0,143087,Республика Хакасия,95000000,2023
67,60153,24510,61863.0,26220.0,143068,Алтайский край,1000000,2023
68,129292,58884,119636.0,49228.0,143079,Красноярский край,4000000,2023
69,46005,20272,52056.0,26323.0,143075,Иркутская область,25701000,2023
70,53753,24641,57243.0,28131.0,13473,Кемеровская область,32700000,2023
71,69910,40694,64951.0,35735.0,143084,Новосибирская область,50000000,2023
72,36585,15792,41730.0,20937.0,4013,Омская область,52000000000,2023
73,25847,16274,30707.0,21134.0,143104,Томская область,69000000,2023
74,38398,12676,39840.0,14118.0,143090,Республика Бурятия,81000000,2023
75,54069,27728,53316.0,26975.0,143096,Республика Саха (Якутия),98600000,2023
76,21613,8138,26515.0,13040.0,143073,Забайкальский край,76000000,2023
77,13245,10284,12558.0,9597.0,143077,Камчатский край,30000000,2023
78,60136,22363,63994.0,26221.0,143086,Приморский край,5000000,2023
79,50146,29875,50655.0,30384.0,143106,Хабаровский край,8000000,2023
80,19777,9344,22202.0,11769.0,143069,Амурская область,10500000,2023
81,6498,4710,6910.0,5122.0,143083,Магаданская область,44000000,2023
82,18574,12239,19895.0,13560.0,143101,Сахалинская область,64000000,2023
83,3261,2263,4160.0,3162.0,143072,Еврейская автономная область,99701000,2023
84,5086,4081,4936.0,3931.0,143111,Чукотский автономный округ,77000000,2023
